,text,depresi
0,"Mulai bosan? Tidak. Memang hidup terus berjalan, rintangan tetap dilawan.",0
1,"Hidup tidak pernah membosankan. Tetapi, mengapa sebagian orang memilih untuk bosan?",0
2,Tetap pulang kerumah itu adalah solusi ketika hidup disana sudah membuat kamu bosan,0
3,oii yang bajak fb aku bosan hidup bilang,0
4,Bosan hidup cebong betinanya.,0
5,"Rasanya tidak pernah bosan memandang langitMu, mungkin suatu saat aku diberi rasa yang sama saat memandang ciptaanMu yg akan menjadi teman hidup nanti.. pic.twitter.com/1VAAocyPJ8",0
6,"karena bosan hidup sendiri, seorang jomblo nekat menikahi pohon jambu yang sebatang kara",0
7,Jika kau merasa bosan dengan hidup. Mungkin kau sedang melalui titik di mana kau tidak mengharapkan apapun dalam hidupmu.,0
8,Setiap orang pasti pernah merasa bosan. Tapi jangan pernah merasa bosan hidup. Udah itu aja.,0
9,Bosan pak sama demo. Dikit-dikit demo. Saya selama hidup saya gak pernah demo ya biasa aja. Memang Mahasiswa sekolah harus demo dan diliput media? Kok Wakil ketua DPR yang terhormat suka bgt nyampah gini sih?,0
10,"Halo pecinta bola,bosan kalah main disitus lain ayo coba keberuntungan anda di http://www.obobet.asia/ * SPORTBOOK BONUS NEW MEMBER 20% & CASHBACK 5% & KOMISI 0,5% * LIVE CASINO BONUS NEW MEMBER 5% & KOMISI 0,8% * SLOT GAMES KOMISI 0,5% * BONUS REFERRAL SEUMUR HIDUP pic.twitter.com/NR3HWuTcDU",0
11,"Satu keluarga bom bunuh diri itu dia bosan hidup, krn bunuh diri haram dlm islam! Lagian maaf yg bom bunuh diri sekeluarga aku kurang tau! Biar https://twitter.com/nona_issabel/status/1057875684314378240 â¦",0
12,"Terlalu lama duduk di meja kerja akan menyebabkan rasa bosan, di hinggapi rasa kantuk serta tidak baik bagi kesehatan.",0
13,"BILA KALI TERAKHIR POKOK BUAH ANDA BERBUAH? . . Bosan dengan hasil tanaman yang hidup segan-segan? . Tercari-cari rahsia pokok bunga tumbuh meriah? . . PM sekarang untuk tahu rahsia . . Encik Ibrahim Ali,... https://www.facebook.com/BajaMilagro/posts/342407492990246 â¦",0
14,BOSAN BERMAIN DENGAN ROBOT DAN ADMIN? Coba Saja Main Di RAJABANDARQQ(DOT)COM 100% NO ROBOT / ADMIN 100% FAIR PLAY GAMES Segera Gabung dan Dapatkan Promo Terbesar *Bonus Rollingan 0.3% Setiap (5 hari sekali) *Bonus Refferal 15% Terbesar (Seumur Hidup) Tanpa Syarat Apapun,0
15,"Yang bosan hidup miskin, nih cara biar jadi kaya. # SolusiKeuanganhttps://smart-money.co/finansial/ingin-kaya-jangan-takut-investasi â¦",0
16,"anda bosan,, anda capek,, anda lelah,,, ya namanya juga hidup coy,, ga ada yg sempurna,,, jika anda selalu merasaseperti itu setiap hari dan setiap saat,,, saya ada solusinya,,, solusinya hanya 1 dan cuma 1..... https://www.facebook.com/100003330558010/posts/1905360469584953/ â¦",0
17,"Bila aku bosan belajar, aku bisikkan ke diri sndiri nasihat imam syafi'i ""berlelah lah, manisnya hidup terasa setelah lelah berjuang"" jangan menyerah. Menyerah berarti menunda masa senang di masa datang"" dari seseorang""",0
18,ayo taufik maju sbg cawagub tp jgn korupsi lagi ya ? Apa gak bosan hidup dalam penjara ?,0
19,Mungkin ga semua orang begini tapi punya peliharaan salah satu cara untuk mengurangi rasa sendiri/murung/bosan dengan hidup. Anjing paling baik ya menurutku walaupun aku sukanya kucing. https://twitter.com/kagrrashin/status/1057233108083257344 â¦,0
20,"Lagi nyari jodoh nih, bosan hidup sendiri terus...pengen nyari teman hidup",0
21,Pergi jahanam sama orang yang tidak reti bergurau. Semua benda mahu ambil serius. Hidup kau ternyata bosan.,0
22,Suatu kebodohan apabila melakukan suatu kesalahan yang sama. Pembelajaran akan hidup tidak akan cukup dalam sehari..jadi janganlah bosan untuk terus belajar dan belajar akan kehidupan,0
23,Indonesia adalah negara yang kaya ragamnya Hanya sedikit sekali alasan untuk bosan hidup di dalamnya Jika kamu berpikir & merasa ada hal-hal yang tidak sesuai relnya Berjanjilah untukâ¦ https://www.instagram.com/p/Bpecy7FgAzR/?utm_source=ig_twitter_share&igshid=1qf0nm8935fhw â¦,0
24,"Seperti apa pun memoles penampilan, yg jelas rakyat sdh bosan dgn hidup sulit dizaman rezim Jokowi, harga2 meroket, dollar meroket, usaha sulit, pengangguran berlimpah.",0
25,"Bosan Hidup, Ilmuwan Berusia 104 tahun Ini Ingin Disuntik Mati http://dlvr.it/QpkkjS",0
26,"Hidup disini yah lama2 bosan banget nget ngeeet, terlalu datar, gak ada drama, org yg ngomongin agama sana sini, banjir, demo yg aneh2, atau hal2 viral lainnya",0
27,"Kenapa kamu bosan hidup? Karena kau tidak punya tujuan, target dan mimpi yg harus di usahakan # AkuHarusYakin",0
28,Astagfirullah depan kamarku ini kalau tidak bangkai tikus ya bangkai apa saja hewan yang sudah bosan hidup blek mati di depan tanpa perduli ada hidung aku masih suka menghirup udara.,0
29,Selamat # HariSumpahPemuda! Jangan jadi pemuda lemah yang di-read doang-in aja udah bosan hidup,0
30,"Hanya org bodoh yg blg Gw bosan hidup"", sementara di rumah sakit byk orang sekarat berjuang utk tetap hidup""",0
31,"Ini timeline kenapa lagi ya, pada kayak siap mati semua. Bosan hidup apa gimana?",0
32,"5. Temukan Passion Jadilah apa yang kamu inginkan, turuti apa kata hatimu karena jika sesuatu kegiatan yang tidak ada dalam keinginan kita akan cepat menimbulkan rasa bosan pada diri kita, jalanilah passion/gaya hidup sesuai dengan yang kita inginkan,",0
33,"Iyah abang, ajak satu Indonesia, biar pecah kerusuhan. Smua orang su bosan hidup.",0
34,"Gapapa. Menikah bukan untuk semua orang. Tujuan hidup ga harus untuk menikah doang, bosan nanti :)",0
35,"Wakil ketua DPR, digaji rakyat hasil kerjanya cuma begini ? Hidup enak tapi ga pernah kerja, ga bosan jadi penjilat ?",0
36,"Bosan dipimpin rezim ini, hidup susah, harga2 meroket, hutang meroket, dollar meroket.",0
37,"Hidup itu berjuang. Berjuang kepada diri sendiri Melawan bosan Melawan malas Melawan capek Melawan hal-hal kecil yang mematikan Lawan aja terus, berjuang terus. Enggak pernah ada yang sia-sia. Sekalipun terasa sia-sia. Kamu bisa ko. Yakin :)",0
38,Hidup itu ada pahit ada manis . Kalau gak mau pahit ya rasakan manisnya . Kalau bosan manis rasakan pahitnya Pilihan,0
39," Kadang kadang hidup terasa bosan apabila kita terlalu menjaga hati orang , namun terasa lebih bosan bila orang tak pernah menjaga Hati kita """"",0
40,"Diberi hidup di dunia nyata, tapi seringkali bosan. Akhirnya sewa satu dunia lagi deh, dunia maya.",0
41,Apakah ada yg bosan hidup?Ayolah ikut denganku.Pasti tidak membosankan.,0
42,Bosan melanda hidup gulana tak terfikirkan cita entah harus bagaimana. inikah awal dewasa? # US @ UsaiSenja,0
43,sudah bosan hidup pak.. jgn jadikan @ prabowo sbg penyebab bapak mati... kalo udah bosan hidup ngadu sama Allah..semoga doa bapak di kabulkan Allah..jgn titip dosa buat org lain... NEGERI SUPER SONTOLOYO...,0
44,Tanpa politik bosan juga hidup ye dok.,0
