username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hanimmsrkhn;03/11/2018 01:05;0;0;Mulai bosan? Tidak. Memang hidup terus berjalan, rintangan tetap dilawan.;;;;1,06E+18;https://twitter.com/hanimmsrkhn/status/1058419752853327872
devisptr;03/11/2018 01:12;0;0;Hidup tidak pernah membosankan. Tetapi, mengapa sebagian orang memilih untuk bosan?;;;;1,06E+18;https://twitter.com/devisptr/status/1058421590755442688
diyanjayn;02/11/2018 14:13;0;3;Tetap pulang kerumah itu adalah solusi ketika hidup disana sudah membuat kamu bosan;;;;1,06E+18;https://twitter.com/diyanjayn/status/1058255709387669504
oktatekesol123;02/11/2018 11:45;0;0;oii yang bajak fb aku bosan hidup bilang;;;;1,06E+18;https://twitter.com/oktatekesol123/status/1058218419127021568
MS32bro;02/11/2018 10:27;0;3;Bosan hidup cebong betinanya.;;;;1,06E+18;https://twitter.com/MS32bro/status/1058198818397728768
brghtrx;02/11/2018 07:18;1;0;Rasanya tidak pernah bosan memandang langitMu, mungkin suatu saat aku diberi rasa yang sama saat memandang ciptaanMu yg akan menjadi teman hidup nanti.. pic.twitter.com/1VAAocyPJ8;;;;1,06E+18;https://twitter.com/brghtrx/status/1058151226917904385
mbah_Q;02/11/2018 05:15;0;0;karena bosan hidup sendiri, seorang jomblo nekat menikahi pohon jambu yang sebatang kara;;;;1,06E+18;https://twitter.com/mbah_Q/status/1058120411966128128
katamirsha;06/11/2018 10:38;0;0;Jika kau merasa bosan dengan hidup. Mungkin kau sedang melalui titik di mana kau tidak mengharapkan apapun dalam hidupmu.;;;;1,06E+18;https://twitter.com/katamirsha/status/1059651243021201408
brohkenheart;06/11/2018 01:36;0;0;Setiap orang pasti pernah merasa bosan. Tapi jangan pernah merasa bosan hidup. Udah itu aja.;;;;1,06E+18;https://twitter.com/brohkenheart/status/1059514785169985536
bagusplus;01/11/2018 16:24;0;0;Bosan pak sama demo. Dikit-dikit demo. Saya selama hidup saya gak pernah demo ya biasa aja. Memang Mahasiswa sekolah harus demo dan diliput media? Kok Wakil ketua DPR yang terhormat suka bgt nyampah gini sih?;;;;1,06E+18;https://twitter.com/bagusplus/status/1057926235462885376
tantejuly69;01/11/2018 14:46;0;0;Halo pecinta bola,bosan kalah main disitus lain ayo coba keberuntungan anda di http://www.obobet.asia/ * SPORTBOOK BONUS NEW MEMBER 20% & CASHBACK 5% & KOMISI 0,5% * LIVE CASINO BONUS NEW MEMBER 5% & KOMISI 0,8% * SLOT GAMES KOMISI 0,5% * BONUS REFERRAL SEUMUR HIDUP pic.twitter.com/NR3HWuTcDU;;;;1,06E+18;https://twitter.com/tantejuly69/status/1057901793768693760
ridlwaanallah;01/11/2018 14:04;0;1;Satu keluarga bom bunuh diri itu dia bosan hidup, krn bunuh diri haram dlm islam! Lagian maaf yg bom bunuh diri sekeluarga aku kurang tau! Biar https://twitter.com/nona_issabel/status/1057875684314378240 …;;;;1,06E+18;https://twitter.com/ridlwaanallah/status/1057891182909513728
TrikSehat;01/11/2018 12:00;3;2;Terlalu lama duduk di meja kerja akan menyebabkan rasa bosan, di hinggapi rasa kantuk serta tidak baik bagi kesehatan.;;;;1,06E+18;https://twitter.com/TrikSehat/status/1057859884694282241
bajamilagro;01/11/2018 12:30;0;0;BILA KALI TERAKHIR POKOK BUAH ANDA BERBUAH? . . Bosan dengan hasil tanaman yang hidup segan-segan? . Tercari-cari rahsia pokok bunga tumbuh meriah? . . PM sekarang untuk tahu rahsia . . Encik Ibrahim Ali,... https://www.facebook.com/BajaMilagro/posts/342407492990246 …;;;;1,06E+18;https://twitter.com/bajamilagro/status/1057867361171189760
shintalaura94;01/11/2018 12:10;0;0;BOSAN BERMAIN DENGAN ROBOT DAN ADMIN? Coba Saja Main Di RAJABANDARQQ(DOT)COM 100% NO ROBOT / ADMIN 100% FAIR PLAY GAMES Segera Gabung dan Dapatkan Promo Terbesar *Bonus Rollingan 0.3% Setiap (5 hari sekali) *Bonus Refferal 15% Terbesar (Seumur Hidup) Tanpa Syarat Apapun;;;;1,06E+18;https://twitter.com/shintalaura94/status/1057862378035892224
smartmoney_co;01/11/2018 08:00;0;2;Yang bosan hidup miskin, nih cara biar jadi kaya. # SolusiKeuanganhttps://smart-money.co/finansial/ingin-kaya-jangan-takut-investasi …;;;#;1,06E+18;https://twitter.com/smartmoney_co/status/1057799384706953216
jhuan_akbar;31/10/2018 10:39;0;0;anda bosan,, anda capek,, anda lelah,,, ya namanya juga hidup coy,, ga ada yg sempurna,,, jika anda selalu merasaseperti itu setiap hari dan setiap saat,,, saya ada solusinya,,, solusinya hanya 1 dan cuma 1..... https://www.facebook.com/100003330558010/posts/1905360469584953/ …;;;;1,06E+18;https://twitter.com/jhuan_akbar/status/1057477140910731264
Ririnfrnn;31/10/2018 18:04;1;1;"Bila aku bosan belajar, aku bisikkan ke diri sndiri nasihat imam syafi'i ""berlelah lah, manisnya hidup terasa setelah lelah berjuang"" jangan menyerah. Menyerah berarti menunda masa senang di masa datang"" dari seseorang""";;;;1,06E+18;https://twitter.com/Ririnfrnn/status/1057589225581727744
BPribas;30/10/2018 21:41;0;0;ayo taufik maju sbg cawagub tp jgn korupsi lagi ya ? Apa gak bosan hidup dalam penjara ?;;;;1,06E+18;https://twitter.com/BPribas/status/1057281463513534465
