username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JohnnyPurba;2018-11-23 13:47;0;0;"""Aku senantiasa memandang kepada Tuhan; karena Ia berdiri di sebelah kananku, aku tidak goyah. Sebab itu hatiku bersukacita dan jiwaku berosark-sorak,..."" (Mazmur 16:8-9a)";;;;1065859430053343233;https://twitter.com/JohnnyPurba/status/1065859430053343233
ninaanggrainiS1;2018-11-22 10:34;1;0;Aku sangat bersukacita dalam Tuhan, bahwa akhirnya pikiranmu dan perasaanmu bertumbuh kembali untuk aku. Memang selalu ada perhatianmu, tetapi tidak ada kesempatan bagimu.;;;;1065448359425585152;https://twitter.com/ninaanggrainiS1/status/1065448359425585152
iramahir73;2018-11-21 13:08;0;0;Saya ingin benar-benar digunakan ketika saya mati, karena semakin keras saya bekerja semakin saya hidup. Aku bersukacita dalam hidup demi kepentingannya sendiri. (George Bernard Shaw );;;;1065124740996579329;https://twitter.com/iramahir73/status/1065124740996579329
Raden_Agung1;2018-11-21 08:32;0;0;Aku Belajar bahwa tak ada kejadian yang harus di sesali & di tangisi. Karna semua RancanganNYA Indah bagiku. Maka dari itu, aku Belajar BERSABAR, BERSYUKUR & BERSUKACITA dalam segala Perkara;;;;1065055256101429250;https://twitter.com/Raden_Agung1/status/1065055256101429250
Sahabat_JESUS;2018-11-21 07:05;1;2;"Matius 5:11-12 Berbahagialah kamu, jika karena Aku kamu dicela dan dianiaya dan kepadamu difitnahkan segala yang jahat. Bersukacita dan bergembiralah, karena upahmu besar di sorga, sebab demikian juga telah dianiaya nabi-nabi yang sebelum kamu.""";;;;1065033326530973697;https://twitter.com/Sahabat_JESUS/status/1065033326530973697
btsjunghseok;2018-11-19 22:11;0;0;"berikan dia ayat ini. ""Aku sangat bersukacita dalam Tuhan, bahwa akhirnya pikiranmu dan perasaanmu bertumbuh kembali untuk aku. Memang selalu ada perhatianmu, tetapi tidak ada kesempatan bagimu.""";;;;1064536624573296640;https://twitter.com/btsjunghseok/status/1064536624573296640
DiaryWidia;2018-11-18 19:47;0;1;Sebab telah KAU buat aku bersukacita, ya TUHAN, dengan pekerjaan-MU, karena perbuatan tangan-MU aku akan bersorak-sorai. Amen.... @Keraton OLShop https://www.instagram.com/p/BqUn0-BhoE8RhvUwTuZTJWb_jzaiqyPDwizM8o0/?utm_source=ig_twitter_share&igshid=847v10zfp4m8 ;;@Keraton;;1064138112752934913;https://twitter.com/DiaryWidia/status/1064138112752934913
iramahir73;2018-11-18 12:08;0;0;Saya ingin benar-benar digunakan ketika saya mati, karena semakin keras saya bekerja semakin saya hidup. Aku bersukacita dalam hidup demi kepentingannya sendiri. (George Bernard Shaw );;;;1064022489230008320;https://twitter.com/iramahir73/status/1064022489230008320
komfisipunri;2018-11-18 08:43;0;0;Aku tidak merintangi mataku dari apa pun yang dikehendakinya, dan aku tidak menahan hatiku dari sukacita apa pun, sebab hatiku bersukacita karena segala jerih payahku. Itulah buah segala https://www.instagram.com/p/BqTb0b6AjxD/?utm_source=ig_twitter_share&igshid=uxisb2ouga5i ;;;;1063970937169739776;https://twitter.com/komfisipunri/status/1063970937169739776
Shinjo_Ohno;2018-11-18 06:39;0;0;"""Aku bersukacita, ketika dikatakan orang kepadaku: ""Mari kita pergi ke rumah TUHAN."" - Mazmur 122:1";;;;1063939742205530112;https://twitter.com/Shinjo_Ohno/status/1063939742205530112
