username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
si_gembira;2018-11-24 06:52;0;0;Beli di mana? Aku mau nyium lutut ku tapi sulit, barangkali kursi hijau bisa membantu;;;;1066117235641466880;https://twitter.com/si_gembira/status/1066117235641466880
hajar0622;2018-11-24 05:04;0;0;Aku x tau nk sedih sbb gembira atau gembira ja,, aku x sngka line kat rmh bru ni bolh tahan laju..sbb aku blh downld 18 ep dgn layan drma series 5 ep..and data still bebaki 1gb lebih dri 10gb..kalau kat rmh skrg belum tntu aku dpt 18ep utk setgh pagi aku tnggu..;;;;1066090226680909824;https://twitter.com/hajar0622/status/1066090226680909824
Adibszici1;2018-11-24 03:07;0;3;Nampak Kau Gembira Bersama Dia, Dah Cukup Buat Aku Gembira.;;;;1066060629029474304;https://twitter.com/Adibszici1/status/1066060629029474304
amirabadriyah_;2018-11-24 02:43;1;5;Duhai hawa yang suci Aku bangga melihatmu derita dalam perjuangan Dari melihatmu gembira dalam kelalaian Aku bangga mendengar tangismu kerana pengorbanan Dari melihat tawamu dalam pengkhianatan;;;;1066054610173849601;https://twitter.com/amirabadriyah_/status/1066054610173849601
mymunss_;2018-11-24 02:12;0;2;sedih aku, gembira aku, attitude aku, cara aku. biar aku sorg yang faham. biar aku sorg yang tanggung :');;;;1066046903714861056;https://twitter.com/mymunss_/status/1066046903714861056
seven7second;2018-11-24 01:59;2;23;Tahu tak mcm mana perasaan dia bila kau tido ko boleh conquer satu katil tanpa perlu share dengan org lain. Ko boleh kepit bantal terajang bantal jatuh bawah katil dan esok kau bgn dengan gembira. Aku tak leh imagine kongsi katil dengan org lain lg.;;;;1066043642651897856;https://twitter.com/seven7second/status/1066043642651897856
__Huddd;2018-11-24 01:49;0;0;Riak wajah mu gembira tapi aku tahu kau sedang berduka. Jangan sedih lama-lama aku sentiasa ada. Aku hanya ingin melihat kau bahagia walaupun kau tidak melihat aku sebagai kekasih. Cukuplah aku menjadi teman yang ada ketika kau berduka.;;;;1066041008951967744;https://twitter.com/__Huddd/status/1066041008951967744
nafissahadawiya;2018-11-24 01:42;0;0;Tu baru satu, Kalau aku nak tambah... Takde ranking siapa no 1 and last. Kita buat swimming pool, pakai kasut warna warni, supaya sekolah ceria.. Budak2 pun gembira. No school uniform... Everyday ada PJ. Rasa maca manga shoujo... https://twitter.com/hazwanfaiz87/status/1064449610851053573 ;;;;1066039276985446400;https://twitter.com/nafissahadawiya/status/1066039276985446400
farahinaziz;2018-11-24 01:34;0;0;aku manusia paling gembira jumpa tembikai. lama gila cari and finally ketemu jua. jodoh kita memang bersama pic.twitter.com/MVVIllPx2A;;;;1066037307768107009;https://twitter.com/farahinaziz/status/1066037307768107009
missbunga12;2018-11-24 01:30;0;0;Aku cuma nak,                                                                               bahagia dan gembira. Itu je.;;;;1066036351101939712;https://twitter.com/missbunga12/status/1066036351101939712
nothingforve;2018-11-24 01:08;0;0;Aku tak beri perhatian kan itu cari sokongan gembira jap;;;;1066030820702310400;https://twitter.com/nothingforve/status/1066030820702310400
RirinMarinasari;2018-11-24 01:03;0;0;Kalaupun aku nyanyi lagu sedih, aku share dua lagu sekaligus, yang satu gembira, biar ga kelihatan beneran sedih. Plus aku kasih keterangan.;;;;1066029492085260288;https://twitter.com/RirinMarinasari/status/1066029492085260288
adiukulelo;2018-11-24 00:36;0;0;Gembira sebab Allah tunjukkan pada aku siapa kau..hati aku mcm mana? Xcukup satu buku kalau nk karang..;;;;1066022692673880064;https://twitter.com/adiukulelo/status/1066022692673880064
adiukulelo;2018-11-24 00:36;0;0;Sakit aku kena tembak? sikit aku xmenangis,tapi hari tu aku menangis sebab kau..bukan kecewa,tapi gembira..;;;;1066022677524008960;https://twitter.com/adiukulelo/status/1066022677524008960
shqnnn;2018-11-23 23:59;0;1;Aku pun xtaula mau sedih ka gembira hahahaha;;;;1066013381612625920;https://twitter.com/shqnnn/status/1066013381612625920
elskim_;2018-11-23 23:47;0;1;"aku lagi suka borak kat whatsapp daripada borak depan2. face to face. sebab apa? diorang takkan sedar disebalik ""HAHAHAHAHAHAHA "" tu air mata aku mengalir. kau ingat senang ke nak acah2 okay and gembira depan diorang? tapi hahah tu lah kepakaran aku";;;;1066010279798960128;https://twitter.com/elskim_/status/1066010279798960128
