username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bima90N;2018-11-24 06:39;0;0;Aku menemukan kerendahan hati, semangat, pikiran positif, dan konsep yang jelas tentang arah hidup.;;;;1066114137812434944;https://twitter.com/Bima90N/status/1066114137812434944
DiaBis_KclRamah;2018-11-24 06:18;0;1;Baca aja thread aku, siapa tau semangat lagi dan kembali hidup :);;;;1066108836480577536;https://twitter.com/DiaBis_KclRamah/status/1066108836480577536
SteffiIndy;2018-11-24 06:18;0;0;Apa yang membuatmu semangat dalam menjalani hidup ini?  Demi membuat orang yg aku Sayang bangga dengan aku. https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM5SOTRKY4RP56VDFJKHV2XYNMYIYNC6KOFJEMUQBRL62P4FYHINRH6FIN5U36Y3N7NLRP5BJDRYDB3ACPA5OTSMP6GWOCQ27RTGTO7XSURD2Z6BYT37PXXHMLJGHE2WLX7XZHX4EQ2HMVH2DK2C33QUOYLNOSDA6EYJC372WGTESKIESNXZ4IFVA= ;;;;1066108668901552128;https://twitter.com/SteffiIndy/status/1066108668901552128
farizdanialz;2018-11-24 05:04;0;2;Letih letih aku dalam traveling ni, tak sama letih dengan setengah orang yang ada tanggungan anak. Dengan perjalanan jauh dan panjang. Sampai ke tengah malam lepas tu transit lagi untuk flight esok pagi. Semoga kalian kuatkan semangat dalam perjalanan hidup;;;;1066090127993106432;https://twitter.com/farizdanialz/status/1066090127993106432
jodohnyanct;2018-11-24 01:53;0;1;Jangan ya nder, aku juga lagi ngerasain apa yang kamu rasain. Tapi ayo coba bertahan lagi, kamu orang yang kuat! Semangat ya nder, kita harus bisa survive dari hidup yang emang lagi 'capek' ini.;;;;1066042193180188672;https://twitter.com/jodohnyanct/status/1066042193180188672
DondeRosse;2018-11-24 01:12;0;0;setiap kali pergi sekolah lemah semangat bila rakan ada segalanya dan mereka sgt kemas  aku hanya membekalkan semangat hidup sahaja  segala kutuk kawan-kawan dan cacian rakan telah membuat aku menjadi keseorangan diri  aku dipinggirkan oleh kerana aku lemah dalam pergaulan;;;;1066031840568299520;https://twitter.com/DondeRosse/status/1066031840568299520
Nety_Wiarty;2018-11-23 23:33;0;0;"Dulu, ketika ada temen yang menceritakan penderitaannya menghadapi depresi, sebisa mungkin aku memotivasi dan memberi semangat hidup. Meski dalam hati bilang ""memang hidupmu seberat apa hingga ingin mengakhirinya?""";;;;1066006771649499137;https://twitter.com/Nety_Wiarty/status/1066006771649499137
shitderella;2018-11-23 23:24;0;0;Huhuhu. I'm so grateful, glad, thankful to born as who I am now and what I got now. Jangan lupa bersyukur guys! Aku juga ga selalu bersyukur, tapi nggak selalu ngeluh juga. Semangat kaliaaan! Selamat hidup!;;;;1066004468091633665;https://twitter.com/shitderella/status/1066004468091633665
vivilutviana23;2018-11-23 22:42;0;8;berada di tempat seperti ini membuat kita lebih relax dan tenang yah, buat melihat apapun yang kita inginkan, misalnya melihat streaming beberapa orang inspiratif untuk mendorong semangat hidup # JadiLebihBaik Aku selalu percaya @ XLAxiata_Tbk untuk menonton dengan lancar dan baguspic.twitter.com/JSLlIh8EHT;;@;#;1065994030251630592;https://twitter.com/vivilutviana23/status/1065994030251630592
Divv_97;2018-11-23 22:23;0;0;Ayok semangat dlm sgala hal tentang kebaikansemngat hidup smngt belajar semangat bantu sesama semangat kerja hehe semangat semangat Aku pke telkomsel btw Bismilah wish me luck;;;;1065989099717185536;https://twitter.com/Divv_97/status/1065989099717185536
KopiDuri;2018-11-23 22:01;0;0;Setiap manusia memiliki perjuangannya masing, semangat berjuang buat aku kamu kita smua karna hidup adalah perjuangan dan butuh pengorbanan;;;;1065983586052915202;https://twitter.com/KopiDuri/status/1065983586052915202
ardibhironx;2018-11-23 21:31;0;3;chat dari adik aku ya? pasti banyak muhasabahnya yg bikin tambah semangat menjalani hidup. ehe;;;;1065976196716871680;https://twitter.com/ardibhironx/status/1065976196716871680
hanyadriverojol;2018-11-23 20:11;0;0;Hingga aku ingat, bahwa Allah berikan ini semua karena aku sanggup, dan pasti bisa melewatinya. Kembali aku bangkit menjalani hidup. Aku semangat. Aku berkata pada diriku sendiri, you can do it, fighting!;;;;1065956119716159488;https://twitter.com/hanyadriverojol/status/1065956119716159488
hanyadriverojol;2018-11-23 20:10;3;1;Namun, karena nyawa masih didalam raga. Maka cobaan tak henti-hentinya menerpa. Kembali, lagi. Penyakit yang kesekian kali datang. Hingga habis kembali semua hartaku. Aku lelah, lemah, penyakit ini merenggut semuanya. Aku hampir kehilangan semangat menjalani hidup.;;;;1065955847136784385;https://twitter.com/hanyadriverojol/status/1065955847136784385
hanyadriverojol;2018-11-23 20:04;0;0;Namun aku harus terus semangat menjalani kehidupan. Memasuki dunia kerja, aku fokus mengumpulkan uang, bahagiakan emak dan bapak. Berjuta jurang terjal menghadang aku lawan demi bisa bertahan hidup di tanah rantau. Keras, teramat keras. Untuk anak se-usiaku kala itu.;;;;1065954309576093697;https://twitter.com/hanyadriverojol/status/1065954309576093697
