username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gyeongrei;2018-11-24 06:59;0;0;Seolaaa~ selamat pagi! Dengan senang hati nanti aku ketok dm kamu! Makasih udah nawarin Kalau ada apa apa jangan sungkan cerita ke aku ya, aku pendengar yang baik;;;;1066119138974650368;https://twitter.com/gyeongrei/status/1066119138974650368
ainnadia921;2018-11-24 06:58;0;0;Aku bg harapan ke macam Tu?? Sesungguhnya Aku tiada keinginan pn lagi fasa bercinta bgai semua bende tu.. Aku nak jadi anak yg berbakti kat mama n abah Aku. Aku nak balas jasa diorang. Aku nak bagi diorang Rasa senang. Aku nak diorang bangga;;;;1066118784136568833;https://twitter.com/ainnadia921/status/1066118784136568833
husni_hamka;2018-11-24 06:57;0;0;Ko senang dicari, aku panggil terus datang. Natang topek ni susah betul aku nak contact;;;;1066118572538118144;https://twitter.com/husni_hamka/status/1066118572538118144
laillatussadz;2018-11-24 06:57;2;1;"Ketika orang2 menghabiskan masa mudanya dengan senang"", aku hanya menghabiskan masa mudaku dengan tidurrr, kpop dan drakor";;;;1066118522214899712;https://twitter.com/laillatussadz/status/1066118522214899712
UpdateLirik;2018-11-24 06:52;0;0;Yang penting aku senang, aku menang Persetan orang susah, karena aku Yang penting asik, sekali lagi, asik! IwanFals ~ Bento # UpdateLirik;;;#;1066117321205276672;https://twitter.com/UpdateLirik/status/1066117321205276672
syasyailyanazul;2018-11-24 06:52;2;2;sebab kau rasa nak pujuk aku senang, sebab aku ada je ni, tak hilang pun. kan? so kau watlek je klu aku sakit or marah. you never really care about me, do you?;;;;1066117278595338241;https://twitter.com/syasyailyanazul/status/1066117278595338241
ChrnoMaledicent;2018-11-24 06:50;0;0;"""Aku berharap aku dapat membaca karya-karya Anda, Charles-san."" masih dengan ekspresi senang, Yakumo pun berkata demikian. Belakangan ini, ia lebih menenggelamkan diri dengan karya-karya penulis Jepang. Ia jadi kurang familiar dengan penulis luar. ""Oh, iya... Genre yang >";;;;1066116814235611136;https://twitter.com/ChrnoMaledicent/status/1066116814235611136
FairyTailFansID;2018-11-24 06:46;0;0;"""Mungkin aku tidak diperhitungkan. Tapi aku senang bersama dengan orang yang sangat bersemangat."" Happy";;;;1066115702598205440;https://twitter.com/FairyTailFansID/status/1066115702598205440
LoveHaiMiiko_;2018-11-24 06:39;0;0;"""Aku ingin membuat mama senang.. Kalau aku masak.. Mama kan bisa istirahat"" - Miiko";;;;1066114088231530497;https://twitter.com/LoveHaiMiiko_/status/1066114088231530497
pwjbobhood;2018-11-24 06:35;0;0;Sehat walafiat, terus mau ulangan berarti bentar lagi libur jadi aku senang;;;;1066112941529788416;https://twitter.com/pwjbobhood/status/1066112941529788416
Ohhneddy;2018-11-24 06:34;0;0;Orang buat aku sakit pun , aku still boleh berlembut . Baik sangat tu lah senang kena pijak;;;;1066112679222243328;https://twitter.com/Ohhneddy/status/1066112679222243328
