username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dhidyt3;2018-11-23 12:32;0;0;"Ku akui diriku tdk punya apa"" tpi sy memiliki 2 rakaat sebelum subuh yg lebih berharga dunia beserta isi""nya..";;;;1065840446549573633;https://twitter.com/dhidyt3/status/1065840446549573633
muhamad_azhad;2018-11-23 09:23;0;0;Jika aku mendapatkan dirimu,dirimu begitu berharga bagi diriku;;;;1065793045323345921;https://twitter.com/muhamad_azhad/status/1065793045323345921
_dilupain;2018-11-22 11:00;0;0;kamu pernah sangat berharga di hidupku, hingga kutemukan diriku terus terluka karenamu;;;;1065455033171435520;https://twitter.com/_dilupain/status/1065455033171435520
_dilupain;2018-11-22 10:00;0;0;kamu pernah sangat berharga di hidupku, hingga ku temukan diriku terus terluka karenamu;;;;1065439946050138113;https://twitter.com/_dilupain/status/1065439946050138113
TheRandomMania;2018-11-21 22:59;0;0;Harta paling berharga yang pernah datang ke diriku di dunia ini adalah dirimu;;;;1065273538737664000;https://twitter.com/TheRandomMania/status/1065273538737664000
tyoungjaems;2018-11-21 21:53;2;1;Sebelum hari ini berakhir, mau bilang makasih ke doyoung buat semua yang udah di upload hari ini. Makasih udah berbagi kenangan yang berharga selama ini sama sijeuni Makasih udah bikin diriku selama satu hari ini bahagia dengan liat semua update itu ^^ Love you;;;;1065256781079691264;https://twitter.com/tyoungjaems/status/1065256781079691264
bbycumii;2018-11-21 20:54;0;0;"semangat ya! kamu berharga, kamu layak untuk dicintai. you're matter, you're here for some reasons. i love you. aku juga masih merasa insecure sama diriku sendiri ; kita berjuang bareng-bareng ya?";;;;1065242003376500737;https://twitter.com/bbycumii/status/1065242003376500737
nyankoreu;2018-11-21 19:36;0;0;Setuju, bahkan aku nganggap kucingku itu pacarku. Aku bukan tipe orng yg nangis lama atau teriak2 gtu nangisnya. Tapi wktu kucingku mati rasanya gimana ya kayak yg berharga dlm diriku hilang, jadi prtma kalinya aku nangis lama bngt dan teriak2 kayak orng gila. Malu klo ingat lagi https://twitter.com/krupukbasah/status/1065199022141407232 ;;;;1065222505349017600;https://twitter.com/nyankoreu/status/1065222505349017600
InSiftriDy7316;2018-11-21 12:37;0;0;Dan kesepuluh member yang aku cintai, terima kasih sudah selalu membuat kenangan yang sangat berharga. Terima kasih kepada kalian semua, aku bisa menikmati diriku sendiri setiap hari. pic.twitter.com/pvSPjFOYkg;;;;1065116970121494530;https://twitter.com/InSiftriDy7316/status/1065116970121494530
ghoniiii;2018-11-21 01:50;0;0;mengisi lembar penghargaan dan diriku sadar, ternyata diriku tak berharga..;;;;1064954035831107584;https://twitter.com/ghoniiii/status/1064954035831107584
_dilupain;2018-11-20 11:00;0;0;kamu pernah sangat berharga di hidupku, hingga kutemukan diriku terus terluka karenamu;;;;1064730260996902912;https://twitter.com/_dilupain/status/1064730260996902912
achik_ezam;2018-11-20 10:26;0;0;Walau dimamah usia, keanjalan kulit masih sekata, kerana diriku begicew berharga.;;;;1064721561435828224;https://twitter.com/achik_ezam/status/1064721561435828224
putriperms;2018-11-20 03:54;0;0;- permadani yg indah, dan perabot Italia. Tetapi pemborosan yg keterlaluan ini sama sekali tidak bisa mengisi hati kami, malah membuat kami merasa dangkal & tidak tulus. Sebagian diriku sangat membenci teman-teman kami yg kami pameri semua barang berharga (2/3);;;;1064622931492331520;https://twitter.com/putriperms/status/1064622931492331520
JgkJnr;2018-11-19 22:32;0;0;Akulah yang harus aku cintai di dunia ini diriku yang bersinar, jiwa yang berharga milik ku Aku akhirnya menyadari, jadi aku mencintai diriku Tidak begitu sempurna tetapi sangat indah Akulah yang harus aku cintai;;;;1064541918560890881;https://twitter.com/JgkJnr/status/1064541918560890881
SHUHUAxBRG;2018-11-19 22:27;0;0;Halo halo! Aku Diva Aghisani Mulya. Biasa dipanggil gica. Kata teman teman aku loyal sama orang yang emang berharga buat hidupku. Aku ga ngerti kenapa orang selalu bilang aku galak, padahal aku cuma mau memproteksi diriku sendiri. Taoi di DM aku bener bener warm;;;;1064540779035582464;https://twitter.com/SHUHUAxBRG/status/1064540779035582464
arsilseptia;2018-11-19 21:09;0;0;Aku rela mebuang ribuan tahun untuk satu hari yang berharga itu Biarlah semua bahkan diriku membenciku Aku tidak akan pernah mati walau kau siapa membunuhku Untukmu Bahkan jika esok bertemu Biarkan aku berdarah berluka hanya untuk mendapati kau tersenyum .;;;;1064521102997614593;https://twitter.com/arsilseptia/status/1064521102997614593
apc771;2018-11-19 15:36;0;0;Kenangilah waktu kita bersama..kau begitu berharga buat diriku;;;;1064437246667837440;https://twitter.com/apc771/status/1064437246667837440
abimalaysia;2018-11-19 13:19;0;0;DERMAGA SIRI XI 2018 ANJURAN ABIM JOHOR DI MASJID JAMEK BANDAR BARU UDA. 15 hingga 16hb November 2018: Alhamdulillah, Program Diriku Permata Berharga (DERMAGA) kali ke 11 telah diadakan di Masjid Jamek Bandar Baru... https://www.facebook.com/abimalaysia/posts/2239047212774586 ;;;;1064402685326184448;https://twitter.com/abimalaysia/status/1064402685326184448
