username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mukidi2019;2018-11-08 05:23;2;1;"Cc @ DivHumas_Polrihttps://twitter.com/azumi_tsuyoshie/status/1060177644199698432 …";;@;;"1060296602382852096";https://twitter.com/mukidi2019/status/1060296602382852096
mukidi2019;2018-11-08 05:20;0;0;"Hahaha.. Mengamdung hoax gak ya..? Cc @ TeddyGusnaidi @ muannas_alaidid @ Dennysiregar7 @ Takvirihttps://twitter.com/CebongParno/status/1060188079460245504 …";;@ @ @ @;;"1060295885832126464";https://twitter.com/mukidi2019/status/1060295885832126464
mukidi2019;2018-11-08 04:56;0;0;"Cc @ TeddyGusnaidi @ muannas_alaididhttps://twitter.com/RestyCayah/status/1060144107371151361 …";;@ @;;"1060289961239298053";https://twitter.com/mukidi2019/status/1060289961239298053
mukidi2019;2018-11-08 04:55;0;0;"Syiah Asu..https://twitter.com/HusinShihab/status/1060004987843956736 …";;;;"1060289783539236865";https://twitter.com/mukidi2019/status/1060289783539236865
JannatyBaity;2018-11-08 04:39;0;0;""Kamu gak pernah bisa ku usir dari pikiranku. Ya udah, mungkin tempatmu emang di sana." # # hidup_bosan_mati_belum_saatnya";;;# #;"1060285743308800000";https://twitter.com/JannatyBaity/status/1060285743308800000
JannatyBaity;2018-11-08 04:09;0;0;"Bot By: ko00oPla$KsSS Http://www.hananurdin.net # # hidup_bosan_mati_belum_saatnya";;;# #;"1060278181083590656";https://twitter.com/JannatyBaity/status/1060278181083590656
hiebatullah;2018-11-08 03:59;5;13;"Dah la orang dah bosan hidup ko baru lahir. Smart https://twitter.com/afqdaniall/status/1060222815914184704 …";;;;"1060275626609827840";https://twitter.com/hiebatullah/status/1060275626609827840
WiraTriaNita;2018-11-08 03:48;0;0;"Aku udah bosan hidup disini (tanpa kamu) :')";;;;"1060272715783798784";https://twitter.com/WiraTriaNita/status/1060272715783798784
JannatyBaity;2018-11-08 03:39;0;0;""Izinkan aku membaca nada-nada di dalam jiwamu, untuk kunyanyikan saat kau mungkin sudah lupa liriklirikny # # hidup_bosan_mati_belum_saatnya";;;# #;"1060270644841988096";https://twitter.com/JannatyBaity/status/1060270644841988096
JannatyBaity;2018-11-08 03:09;0;0;""Katanya orang bisa jadi bodoh karena cinta, tapi aku ngga peduli semua itu. Aku cuma mikir, betapa bodoh # # hidup_bosan_mati_belum_saatnya";;;# #;"1060263078040788992";https://twitter.com/JannatyBaity/status/1060263078040788992
JannatyBaity;2018-11-08 02:39;0;0;""Kau begitu kucinta, hingga ketika bersamamu mati seperti bisa kutunda, dan tanpamu, hidup serasa tiada gu # # hidup_bosan_mati_belum_saatnya";;;# #;"1060255549239918592";https://twitter.com/JannatyBaity/status/1060255549239918592
Syazwanaa;2018-11-08 02:14;0;0;"Tengok swans berenang pun aku terhibur. Parah ni hidup aku bosan sgt";;;;"1060249258463379456";https://twitter.com/Syazwanaa/status/1060249258463379456
emanngg;2018-11-08 01:01;0;0;"Takde apa yg membosankan pun hidup di HULU selangor ni. Serious. Campaklah memana pun, kalau mindset kau kata bosan, kau sombong dengan orang, ha bosanlah hidup kau. Change your mindset, and ....";;;;"1060230867128205312";https://twitter.com/emanngg/status/1060230867128205312
nsyafqilaruslan;2018-11-08 00:53;0;1;"Kau tak sayang tapi kau bosan. Sedih lah hidup mcm ni haih https://twitter.com/ashrafariff/status/1059384729580068864 …";;;;"1060228883948040194";https://twitter.com/nsyafqilaruslan/status/1060228883948040194
zarul6;2018-11-08 00:52;0;0;"Asalkan hidup aku tak bosan macam sekarang.";;;;"1060228563020857344";https://twitter.com/zarul6/status/1060228563020857344
zarul6;2018-11-08 00:51;0;0;"Memang jenis lifeless hari hari. Sumpah bosan sial hidup macamni.";;;;"1060228253711949824";https://twitter.com/zarul6/status/1060228253711949824
aqilahumairh;2018-11-08 00:30;0;1;"Eh muncul lagi, tak bosan ke hidup dengki orang";;;;"1060222936898920448";https://twitter.com/aqilahumairh/status/1060222936898920448
qamarinaazman_;2018-11-08 00:26;0;1;"Baru lah hidup kita tak bosan sebab kita ada kawan yang menyesatkan. Ehh.";;;;"1060221887588917248";https://twitter.com/qamarinaazman_/status/1060221887588917248
sot_jag;2018-11-08 00:08;0;0;"asal la hidup aku ni bosan sangat";;;;"1060217322986557440";https://twitter.com/sot_jag/status/1060217322986557440
plumsnm;2018-11-07 23:56;0;3;"apakah dia yang kau maksud, ferguso? skrg dia bergabung dg @ pledis_17 karena bosan hidup dikapal dia memilih menjadi rapper:") dan lumayan sukses dipasaran asia:) pic.twitter.com/0CJJUlM1YD";;@;;"1060214421404827648";https://twitter.com/plumsnm/status/1060214421404827648
syaziranaimm;2018-11-07 23:56;0;0;"tak lah, hidup aku tengah bosan skarang";;;;"1060214363787689985";https://twitter.com/syaziranaimm/status/1060214363787689985
piyoii;2018-11-07 23:44;1;1;"Dah tak ada kerja lain la tu. Tu yang asyik nak ngumpat orang. Sian, bosan betul hidup hang.";;;;"1060211418710962177";https://twitter.com/piyoii/status/1060211418710962177
CLSDGotLoves;2018-11-07 23:41;1;0;"Si geminian ini memang jarang tertekan karena masalah hidup. Namun, rasa bosan adalah kutukan yang mereka takuti. Biasanya, mereka hanya perlu menghabiskan waktu dengan mendengarkan musik atau mencari susana baru.";;;;"1060210668631076864";https://twitter.com/CLSDGotLoves/status/1060210668631076864
WanFathiyyah;2018-11-07 23:38;0;0;"Kenapa sekarang orang dk ckp tempat cantik yg kononnya kat malaysia tapi sbenarnya gambar tu tmpt lain. Korang dah kenapa dh bosan hidup ke sampai nak sebarkan benda tak betul ni";;;;"1060209885525139456";https://twitter.com/WanFathiyyah/status/1060209885525139456
LyaaLyott;2018-11-07 23:31;0;0;"sejak sejak menganggur ni rasa macam bosan sangat hidup aku huhuhu";;;;"1060208014047629313";https://twitter.com/LyaaLyott/status/1060208014047629313
aziierah;2018-11-07 23:26;0;0;"Setiap hari mengadu benda yang sama. Semoga awak tak bosan untuk hidup bersama satu hari kelak";;;;"1060206754410127360";https://twitter.com/aziierah/status/1060206754410127360
izz_shaaaaa;2018-11-07 22:55;0;0;"hidup single ni mmg bosan — tak akan jadi bosan kalau kita pandai hargai masa dengan perkara berfaedah https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM22JSPHQSQO66LBVDBHX3PYPUSZ3ZEYKLFJBMYQZQK22PGU2FDYBHSDQVYAT6MJNZP3MLBGJVUMICVESSHVWSCKGPBOHXYPXKSC27R6LPZSAZMCJF2HMDJAMRICUAQTLO4DGHD5UTTTGVHUDS32PPYP7SFZZWHX6M6NPKJ47XTQI72VY= …";;;;"1060199105954283520";https://twitter.com/izz_shaaaaa/status/1060199105954283520
jordansyukur;2018-11-07 22:47;0;0;"MANGKRAK KARENA BOSAN, HIDUP. 6 November 2018 - hari 6 Belakangan ini, beberapa hal terbengkalai. Sehabis dari bangun tidur, kabar menghentaki telingaku dengan tidak biasa dan seketika ku ambil duduk dengan... https://www.facebook.com/jbelokjrs1/videos/2075317715823134/ …";;;;"1060197033343180802";https://twitter.com/jordansyukur/status/1060197033343180802
Mea_Syieta;2018-11-07 22:37;0;1;"Bz dgn hidup smpai xsmpt nak catch up thread pasal mamat yg lantoikan awek dia curang tu. ce cc kat aku. Tgh bosan nie. Perlukan hiburannnnn";;;;"1060194574574878721";https://twitter.com/Mea_Syieta/status/1060194574574878721
trishazleeen;2018-11-07 22:11;0;4;"yala penat juga aku hidup dlm kebosanan. hari2 bosan ndataula hidup ka apa :(";;;;"1060188039954087936";https://twitter.com/trishazleeen/status/1060188039954087936
itsp4mi;2018-11-07 22:10;0;0;"gua dah bosan hidup camni";;;;"1060187740589842432";https://twitter.com/itsp4mi/status/1060187740589842432
Farhanfebr_;2018-11-07 22:01;1;1;"The Republik Of Cinangsi Bosan Hidup berdemokrasi yang ga ada habisnya, di rasa ga ada keadilannya";;;;"1060185528295817216";https://twitter.com/Farhanfebr_/status/1060185528295817216
luqmanzikage;2018-11-07 21:53;0;0;"sejujurnya aku dah bosan dengan hidup single sekarang hihu";;;;"1060183497095110659";https://twitter.com/luqmanzikage/status/1060183497095110659
nbilahntsyaa;2018-11-07 21:45;0;0;"Orang bila dah bosan je bagi macam2 alasan . Ehh kalau dah bosan sila berambus dalam hidup aku";;;;"1060181529177931781";https://twitter.com/nbilahntsyaa/status/1060181529177931781
rajanuratiqah_;2018-11-07 21:34;0;0;"Bosan lah org yg asyik story about love je.. Hidup ni kene ada love je ke xde bende lain dah?";;;;"1060178669115604995";https://twitter.com/rajanuratiqah_/status/1060178669115604995
FianaDanisha;2018-11-07 21:27;0;3;"Pergi jahanam sama orang yang tidak reti bergurau. Semua benda mahu ambil serius. Hidup kau ternyata bosan.";;;;"1060176885043257344";https://twitter.com/FianaDanisha/status/1060176885043257344
Zigeneration;2018-11-07 21:17;2;1;"— Di malan itu juga @ NPCXIAOGUI menerahkan dirinya sendiri kepada kawanan WW yaitu : @ skeochangbin dan @ choerryaa untuk dimakan, karena ia bosan hidup dan telah kehilangan sanak saudara. Selamat WW menang ! pic.twitter.com/OZSkZ2SJ1e";;@ @ @;;"1060174435666223104";https://twitter.com/Zigeneration/status/1060174435666223104
mukidi2019;2018-11-07 20:59;0;0;"Ayo @ TeddyGusnaidi dibantu.. Mgkn anda tau orang ny...https://twitter.com/VIVAcoid/status/1060083204659376130 …";;@;;"1060169759344418816";https://twitter.com/mukidi2019/status/1060169759344418816
aniesthelina_;2018-11-07 20:54;0;0;"nak mengawan dengan kucing buat apa dol HAHHAA bosan sangat dah ke hidup tu ha";;;;"1060168709958844416";https://twitter.com/aniesthelina_/status/1060168709958844416
ammarnordin2;2018-11-07 20:53;0;2;"Kalau rasa dh bosan happy tu, cari jelah aku. aku boleh musnahkan segalanya dlm hidup kau.";;;;"1060168270748180480";https://twitter.com/ammarnordin2/status/1060168270748180480
mukidi2019;2018-11-07 20:52;0;0;"Orde baru gak ada PKI, orde baru cari kerja gampang, cari makan gak sulit, semua2 serba terjangkau.. Skrg? Kl mau di bandingin sm zaman skrg gua lbh baik pilih orde baru aja...";;;;"1060168015919013890";https://twitter.com/mukidi2019/status/1060168015919013890
mukidi2019;2018-11-07 20:50;0;0;"Cc @ TeddyGusnaidi sang penjilat..https://twitter.com/RestyCayah/status/1060123654954962944 …";;@;;"1060167513890123776";https://twitter.com/mukidi2019/status/1060167513890123776
eko_tongsott;2018-11-07 20:43;0;1;"Bertahan hidup Harus bisa bersikap lembut Walau hati panas Bahkan terbakar sekalipun Keluh kesah ini Mungkin berguna Jadikan teman sejati Dimedan juang Bisa jadi kita bosan Tapi kenyataan Badai datang Tak bosan-bosan Waspadalah kawan Perjuangan masih panjang";;;;"1060165772536832000";https://twitter.com/eko_tongsott/status/1060165772536832000
JannatyBaity;2018-11-07 20:39;0;0;""Aku tak pernah tau kebahagiaan sesungguhnya, sampai ketika aku mendapatkan cintamu. Dan aku tak pernah ta # # hidup_bosan_mati_belum_saatnya";;;# #;"1060164962243424257";https://twitter.com/JannatyBaity/status/1060164962243424257
fatinmaruzuki;2018-11-07 20:24;0;0;"Yaaaaaa aku dah start menyesai tak bawak balik broadband yes hoho bosan gilo hidup ui";;;;"1060161141047877632";https://twitter.com/fatinmaruzuki/status/1060161141047877632
