username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
snowcottons;2018-11-08 05:45;0;0;"nontonnya sambil sebel pengen ngejambak si ini sama luna sekalian, apalagi pas di danau naik perahu ingin rasanya ngejorokin biar pada mati";;;;"1060302187299917824";https://twitter.com/snowcottons/status/1060302187299917824
gigihedld;2018-11-08 05:44;0;0;"Harus bgt ya anjing mati lampu batre sekarat padahal mau pergi ke jogja astaga ingin ku berkata kasar";;;;"1060302056802607104";https://twitter.com/gigihedld/status/1060302056802607104
minum_ndut;2018-11-08 05:35;0;0;"Ya gimana yak jabatan kagak dibawa mati sih. Buat apa melakukan sesuatu bukan karena mampu tapi karena ingin dihormati. Nasib siapa jadinya yg sedang kamu perjuangkan?";;;;"1060299763390640128";https://twitter.com/minum_ndut/status/1060299763390640128
mati8jamsehari;2018-11-08 03:21;0;0;"Ingin tapi ku tak sanggup. pic.twitter.com/00rxqD08vS";;;;"1060265941005561856";https://twitter.com/mati8jamsehari/status/1060265941005561856
sutodjojo;2018-11-08 02:07;0;0;"Bukan dendam, tp sy mencoba bung berpikir waras, tidak akan pernah terungkap karena mantan mertua beliau yang merangkap sebagai dalang sdh mati... ayolah, dokumentasi ada untuk apa? Akal dipakai mengolah semua kemungkinan, jgn mengolah yg ingin dipikir saja";;;;"1060247487796015104";https://twitter.com/sutodjojo/status/1060247487796015104
devimariaulfaa;2018-11-08 02:03;0;0;"Eve JKT48 pernah bilang: "Golden Rules harga mati!!" dan w inget bgt komen2 fans support, dan tdk jadi pensi, ingin ngidol lagi. Dan Pengumuman tentang Eve hari ini: "diturunkan dari team T ke academy A karena ybs mengakui telah melanggar Golden Rules JKT48" The irony.";;;;"1060246438943178752";https://twitter.com/devimariaulfaa/status/1060246438943178752
priyadixx;2018-11-08 01:44;0;0;"perjuangan sejati bukan ingin dipuji. saudaraku yang masih peduli negeri...teruslah berjuang untuk negeri dan diri sendiri tentunya sampai mati. 'Jagalah dirimu dan keluargamu dari api neraka' itu pesan islam. berjuang melalui apa saja yang legal&halal bisa dilakukan.";;;;"1060241567384924160";https://twitter.com/priyadixx/status/1060241567384924160
sesarmendatar;2018-11-08 01:18;0;0;"˘͈ᵕ˘͈ Dan ia harus hidup untuk membalas budi orang-orang tersebut jika memang ingin pergi dari dunia selamanya. Tidak, ia tidak akan mati hari ini. Perjalanan hidupnya masih panjang. — END —";;;;"1060235155485257729";https://twitter.com/sesarmendatar/status/1060235155485257729
MadaTamvans;2018-11-08 00:36;0;0;""Aku tidak ingin melihat orang lain yang tidak penting, mati dihadapanku."";;;;"1060224596975149056";https://twitter.com/MadaTamvans/status/1060224596975149056
nurultp;2018-11-07 23:32;0;0;"Kebiasaan baruku saat ingin tidur : ditonton drakor sampe batre hape low, atau sampe tu vidio mati sendiri :) ^ditonton lho ya bukan nonton wkwkwk";;;;"1060208258881740800";https://twitter.com/nurultp/status/1060208258881740800
HotelSingaporeN;2018-11-07 23:01;0;0;""Steve jobs mati meninggalkan nama & karya. Setiap orang bisa menentukan ingin dikenal sebagai apa & siapa dengan perbuatannya" https://www.youtube.com/watch?v=Nuqce5D09LU …";;;;"1060200514330087426";https://twitter.com/HotelSingaporeN/status/1060200514330087426
Mamang42129812;2018-11-07 22:58;0;0;"Ketika orang islam mati. Pasti ingin diselimuti kalimah tahuid # BenderakuHanyaSatu";;;#;"1060199847146414080";https://twitter.com/Mamang42129812/status/1060199847146414080
uchenuteh;2018-11-07 22:55;0;1;"Apa hubungannya kalimat tauhid sama bendera merah putih??? Anda sangat oot sekali.. bendera Merah putih saya hormati sebagai WNI karena saya ingin melanjutkan cita2 para pahlawan.. NKRI & PANCASILA HARGA MATI.. gw juga muslim bro tapi gw tau aturan sebagai warga negara!";;;;"1060199182185652226";https://twitter.com/uchenuteh/status/1060199182185652226
yanuarwib;2018-11-07 22:40;0;0;"saya paling ngeGas saat lirik part.. "berjalan ta sperti rencana adala jalan yang suda biasa.. " serasa ingin mati muda saja";;;;"1060195287778521088";https://twitter.com/yanuarwib/status/1060195287778521088
whatvrman;2018-11-07 22:19;0;0;"Imaginasi di kala sepi, ingin ku berkata tetapi mati";;;;"1060190083247038465";https://twitter.com/whatvrman/status/1060190083247038465
beautlights;2018-11-07 22:10;0;0;"malam malam ingin menangis pasca melihat foto badak bercula satu yang mati karena ditembak dan culanya diambil";;;;"1060187764585447424";https://twitter.com/beautlights/status/1060187764585447424
khirnisa;2018-11-07 22:07;1;18;"saya di sini ingin mengatakan terlajak perahu boleh diundur, terlajak story mati la kau kbai";;;;"1060186949258928129";https://twitter.com/khirnisa/status/1060186949258928129
biji_kartun;2018-11-07 21:54;0;0;"Membayangkan kehidupan 6 tahun kedepan jadi ingin mati di saat balita";;;;"1060183714817343488";https://twitter.com/biji_kartun/status/1060183714817343488
heryprisma;2018-11-07 21:45;1;2;"Bila ingin tahu kekhosan Gus Dur, lihat ini. Kata mbah Munib ; "Yg pantas jdi Gus Dur itu cuma Gus Dur & yg bisa jdi Gus Dur ya cuma Gus Dur ". Gus Dur sampun sedo tpi taseh saget nguripi tiang sing taseh gesang.Apakah kolega2 si fulan masih sudi melihat pusaranya klo sudah mati? pic.twitter.com/gTl7SavMjf";;;;"1060181353923145729";https://twitter.com/heryprisma/status/1060181353923145729
hmetromy;2018-11-07 21:30;48;107;"# KualaLumpur Mengingati mati juga akan menghilangkan segala kelazatan yang ingin dinikmati di dunia ini. http://bit.ly/2RGUSQF";;;#;"1060177553443430410";https://twitter.com/hmetromy/status/1060177553443430410
AeniVe;2018-11-07 21:10;0;2;"Pekat dengan jangkrik dan katak ditelinga Dingin yang berhembus di hidung Linu tulang kakiku langkahkan Semenjak jatuh hati seakan bumi ini berhenti ingin mengulang lagi lagi dan lagi Ya walaupun pernah berhenti bahkan mati";;;;"1060172747047821312";https://twitter.com/AeniVe/status/1060172747047821312
abdulahhanafi07;2018-11-07 20:53;0;0;"Saking sepinya hati ini mulai mati dan tak ingin hidup";;;;"1060168291421839361";https://twitter.com/abdulahhanafi07/status/1060168291421839361
Mutekondria;2018-11-07 20:46;0;0;"Stress, emosi tidak stabil, dan ingin mati saja.";;;;"1060166659485233152";https://twitter.com/Mutekondria/status/1060166659485233152
GYPrasetya;2018-11-07 20:34;0;0;"Tinggalin lah biar karam, parah nih YIM";;;;"1060163622897242113";https://twitter.com/GYPrasetya/status/1060163622897242113
RioAnam2;2018-11-07 20:33;0;0;"Aku ingin Hidup bersama ini dan Mati bersama ini pic.twitter.com/7ilY0jxEtR";;;;"1060163387923918849";https://twitter.com/RioAnam2/status/1060163387923918849
hndfbrn;2018-11-07 20:28;6;3;"ingin semua orang didunia ini mati bersamaan dan menyisakan satu orang goblok aaja yaitu aku";;;;"1060162107977609216";https://twitter.com/hndfbrn/status/1060162107977609216
BibitTakUnggul;2018-11-07 20:22;0;0;"Aku ingin mati dalam keadaan sangit";;;;"1060160624573865984";https://twitter.com/BibitTakUnggul/status/1060160624573865984
GYPrasetya;2018-11-07 20:20;0;0;"Bener banget , jangan sampai Ulama kita cinta Dunia (harta, tahta, kedudukan dan wanita).https://twitter.com/nu_online/status/1059953324923924480 …";;;;"1060160136268795904";https://twitter.com/GYPrasetya/status/1060160136268795904
