username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IRPN_Kurenai;2018-11-08 06:59;0;0;""Manusia tidak akan lepas dari kesepian" - Sabaku no Gaara # BOT";;;#;"1060320767559135233";https://twitter.com/IRPN_Kurenai/status/1060320767559135233
fattan_afif;2018-11-08 06:55;0;1;"Pernah dengerin curhatan dia tiap hari.. Ku kira dengan terbuka, hatinya juga terbuka.. Nyatanya aku cuma teman dalam kesepian dia.. Dikala dia gabut. Dikala dia bosan, pada akhirnya aku lah jadi tempat pelampiasan mu.. Hehe";;;;"1060319950232010752";https://twitter.com/fattan_afif/status/1060319950232010752
leexjiun;2018-11-08 06:49;0;0;"Ayu sayang banget sama Arga. Sesekali Ayu suka kirim vlog ke Arga biar adik laki-lakinya merasa senang dan ngga kesepian. Karena menurut Ayu, jauh dari orang-orang tersayang itu beraaat banget. Dan untuk mengobati rasa kangen, komunikasi memang jadi kunci penting! pic.twitter.com/PXWWNwcN08";;;;"1060318359890214912";https://twitter.com/leexjiun/status/1060318359890214912
gian_supertung;2018-11-08 06:49;0;0;"Sendirian.. itu faktanya.. kesepian.. itu mitosnya, karena kalau kamu mulai ga percaya sama mitos itu, kamu mulai sadar akan orang - orang sekitar yang ada untuk kamu .";;;;"1060318317687144448";https://twitter.com/gian_supertung/status/1060318317687144448
whateveraiy;2018-11-08 06:44;0;0;"Selamat pagi, hariini aku tidak kesepian, karna setetes embun menemani";;;;"1060317148914962432";https://twitter.com/whateveraiy/status/1060317148914962432
lonelywhaley;2018-11-08 06:38;0;0;"gue ada di masa dimana kalo ada perampok yang ngancem 'harta atau nyawa?' gue bakalan jawab 'bold of you to assume i have money and also bold of you to assume i still have the willing to live'";;;;"1060315510674341888";https://twitter.com/lonelywhaley/status/1060315510674341888
Dhexap;2018-11-08 06:38;0;0;"cari yang serius , saling memuaskan, ahli jilmek sampe ketagihan .. buat cewe kesepian atau butuh partner daerah jakarta/depok/bogor Invite pin BBM : E37DC64D .. LINE ID : geovanvan . buat cewe ! # gigolo # pasutri";;;# #;"1060315504357728256";https://twitter.com/Dhexap/status/1060315504357728256
rizadesade;2018-11-08 06:31;1;0;"Selamat pagi wahai perempuan2 kesepian. . .";;;;"1060313849511895040";https://twitter.com/rizadesade/status/1060313849511895040
2610nkmyuta;2018-11-08 06:30;0;0;"(( kirain ga bawa hape. Ternyata nyelip di antara kesepian";;;;"1060313514852532225";https://twitter.com/2610nkmyuta/status/1060313514852532225
zeroffour;2018-11-08 06:30;0;0;"Yaudin jalanin aja aing juga tiap hari kesepian";;;;"1060313493818097664";https://twitter.com/zeroffour/status/1060313493818097664
ryuwonies;2018-11-08 06:30;0;0;"Ayolah oppa juga cari biar ga kesepian lagi https://twitter.com/dowoony95/status/1060192212246396929 …";;;;"1060313447110307840";https://twitter.com/ryuwonies/status/1060313447110307840
lahmanasayatau;2018-11-08 06:28;0;0;"Tiap aku dan kakak2ku merantau pasti ada banyak kucing dateng ke rumah. Tiap aku udah balik rumah libur beberapa bulan, kucingnya pasti ada yang meninggal. Entah ini kebetulan apa udah disetting takdir biar orangtuaku tidak kesepian lalu dikasih peliharaan kucing";;;;"1060313031463161856";https://twitter.com/lahmanasayatau/status/1060313031463161856
ramly_hafiz;2018-11-08 06:27;0;3;"Pelik aku dia ni tiap2 hari duduk melalak..ada je muka dia buat statement walaupun dah di gelar perompak penyangak pencuri..masa dia PM dulu pun x sbyk ini media published statement dia..apa kata kalau semua media massa jg layan penyangak ni..biar dia kesepian @ NajibRazak";;@;;"1060312873602187264";https://twitter.com/ramly_hafiz/status/1060312873602187264
GigoloSRG;2018-11-08 06:25;0;0;"Tante kesepian area Tembalang, banyumanik, ungaran, ayo ini pumpung musim ujan";;;;"1060312437478453248";https://twitter.com/GigoloSRG/status/1060312437478453248
lonelywhaley;2018-11-08 06:22;0;0;"'good bye' should be called 'badbye' instead. bcs if its all good then why you should say 'bye'";;;;"1060311652254416896";https://twitter.com/lonelywhaley/status/1060311652254416896
DANIELAKUHAMIL;2018-11-08 06:22;0;0;"Gatau wkwk, kadang sengaja gue telat telatin biar ga kesepian";;;;"1060311509920673792";https://twitter.com/DANIELAKUHAMIL/status/1060311509920673792
SuryaAddinRummi;2018-11-08 06:19;0;0;"Menemani sentuhan aksara di temani rinai hujan, menyeretku pada kesepian kemudian mengubah dunia menjadi begitu magis .. ¥@'";;@;;"1060310898328330242";https://twitter.com/SuryaAddinRummi/status/1060310898328330242
coeurbries;2018-11-08 06:09;0;0;"Nonton film, baca buku, dengerin musik? Tapi aku jarang ngerasa kesepian sih... aku suka aja kalau lagi sendiri :(";;;;"1060308323931570176";https://twitter.com/coeurbries/status/1060308323931570176
YessiWies;2018-11-08 06:08;6;35;"Kamis manis Jangan bicara soal dia atau mereka Cukup bicara tentang kau, aku dan rindu Karena hari ini, waktu untuk kita Jangan ceritakan tentang duka atau kesepian kita Cukup cerita yang indah-indah saja Karena di sini adalah ruang untuk kita # KepadaHatiitu";;;#;"1060307996293529600";https://twitter.com/YessiWies/status/1060307996293529600
rlthingy;2018-11-08 06:05;3;10;"/rlt/ kalian kalo ngerasa kesepian bkl gimana?";;;;"1060307212826898432";https://twitter.com/rlthingy/status/1060307212826898432
puku2pang_;2018-11-08 06:03;0;0;"‘Sus-‘ *telpon* ‘HALO MAK??? IYA MAK SUSU LG LATIHAN!!! MAK GMN DAH MAKAN BELOM????’ ‘Sus h-‘ ‘IYA MAAKK SUSU KESEPIAN BGT DISINI NGGAK ADA TEMEN MAU KETEMU MAK HUHUHUHU’ Ya begitu";;;;"1060306748873953280";https://twitter.com/puku2pang_/status/1060306748873953280
narutofanID;2018-11-08 06:00;0;0;""Manusia tidak pernah bisa menang dari rasa kesepian" -Gaara";;;;"1060305950337204225";https://twitter.com/narutofanID/status/1060305950337204225
promotiket_17;2018-11-08 05:57;0;1;"# enjoyphoenix Terkadang kita diberikan rasa kesepian yg mendalam, agar kita lebih menghargai indahnya kebersamaan. tiket pesawat murah dari";;;#;"1060305351197646849";https://twitter.com/promotiket_17/status/1060305351197646849
herilho;2018-11-08 05:56;0;0;"Jossss malu banget, mngkin dia lagi kesepian";;;;"1060305024717180928";https://twitter.com/herilho/status/1060305024717180928
FairyTailFansID;2018-11-08 05:46;0;0;"Mengapa? .. Aku sangat sedih dan kesepian. Namun air mata tidak mau jatuh." Lucy";;;;"1060302389444399106";https://twitter.com/FairyTailFansID/status/1060302389444399106
mxinjo;2018-11-08 05:38;0;0;"[askMF] kalo doi nge chat aku selalu risih dan b aja sm dia dan kalo ngga nge chat ngerasa kehilangan. gangerti kenapa. apa diriqu hanya kesepian?";;;;"1060300497800884224";https://twitter.com/mxinjo/status/1060300497800884224
vanilaxtte;2018-11-08 05:36;0;0;"1060299655177658374[askMF] kalo doi nge chat aku selalu risih dan b aja sm dia dan kalo ngga nge chat ngerasa kehilangan. gangerti kenapa. apa diriqu hanya kesepian?";;;;"1060300105587265536";https://twitter.com/vanilaxtte/status/1060300105587265536
jandaKesepian6;2018-11-08 05:36;0;0;"@ Alfian24551678 vc yuk";;@;;"1060300018635010048";https://twitter.com/jandaKesepian6/status/1060300018635010048
KumpulanK;2018-11-08 05:31;0;0;"“Manusia tak kan pernah bisa menang dari rasa kesepian” (Gaara)";;;;"1060298665451970560";https://twitter.com/KumpulanK/status/1060298665451970560
arryp_10;2018-11-08 05:30;0;0;"gue kesepian nih, mention knapa?";;;;"1060298508819820544";https://twitter.com/arryp_10/status/1060298508819820544
jandaKesepian6;2018-11-08 05:28;0;0;"Kontol kamu";;;;"1060297872464199680";https://twitter.com/jandaKesepian6/status/1060297872464199680
iRP_NarutoU;2018-11-08 05:27;0;0;""Teman itu adalah sesorang yang akan menyelamatkanku dari neraka yg bernama kesepian" # BotNaruto";;;#;"1060297801639194624";https://twitter.com/iRP_NarutoU/status/1060297801639194624
IslamEnergy;2018-11-08 05:25;0;1;"saat aku kesepian ditengah keramaian,yang aku ingat hanyalah engkau Allah ya tuhanku.aku tau engkau slalu ada untukku,selalu disampingku :')";;;;"1060297242836234240";https://twitter.com/IslamEnergy/status/1060297242836234240
Fadhlur__;2018-11-08 05:24;0;0;"“Manusia tak kan pernah bisa menang dari rasa kesepian” (Gaara)";;;;"1060296956675686400";https://twitter.com/Fadhlur__/status/1060296956675686400
budhy_fiyya;2018-11-08 05:20;0;0;"Aku ini berjiwa penolong, karena itu aku selalu nolongin org2 yang kesepian & butuh pacar. Tapi yg cakep aja ┒(ˇ_ˇ)┎";;;;"1060295960411000832";https://twitter.com/budhy_fiyya/status/1060295960411000832
mazrumz;2018-11-08 05:18;0;0;"Sadar diri, kamu hanyalah pelampiasan.. Sadar diri, kamu hanya menjadi tempat singgah, ketika dia merasa bosan dan kesepian.. Karena keberadaanmu saja tidak dianggap sama sekali.. Makanya jadi orang tuh jangan baperan :)";;;;"1060295373682442240";https://twitter.com/mazrumz/status/1060295373682442240
CHmatani;2018-11-08 05:07;0;1;"Maybe this trip will take u to the danger, loneliness & fatigue. But this trip is also able to take u to the stunning natural beauty. (Mungkin perjalanan ini akan membawa ko kepada bahaya, kesepian &... https://www.facebook.com/100000116884696/posts/2719257224754814/ …";;;;"1060292725021511680";https://twitter.com/CHmatani/status/1060292725021511680
eka_uye;2018-11-08 04:59;0;0;""Jika kalian semua kesepian, kau akan belajar betapa hangat nya memiliki teman-teman."";;;;"1060290755506331650";https://twitter.com/eka_uye/status/1060290755506331650
farianre;2018-11-08 04:51;0;0;"# mesum Tante Girang Kesepian Cantik Seksi Bohai http://dlvr.it/7l2Yxg";;;#;"1060288632320229380";https://twitter.com/farianre/status/1060288632320229380
H2SO9;2018-11-08 04:49;0;0;"» Jangan terlalu sering muncul di dunia maya. Nanti di kira kesepian di dunia nyata";;;;"1060288239301406720";https://twitter.com/H2SO9/status/1060288239301406720
D_ConanLovers;2018-11-08 04:42;0;0;"Tapi, aku tak mau mati sendiri.. Sebab, sendirian akan membuatku sangat kesepian... # vol43";;;#;"1060286511512346624";https://twitter.com/D_ConanLovers/status/1060286511512346624
mimahanggi;2018-11-08 04:37;0;0;"Dan yaa byk Hal yg Tak bisa dibeli dengan uang....salah satunya ada menghilangkan rasa kesepian";;;;"1060285167091118081";https://twitter.com/mimahanggi/status/1060285167091118081
Haepanda25;2018-11-08 04:27;0;0;"“Manusia tak kan pernah bisa menang dari rasa kesepian” -Gaara-";;;;"1060282666736439296";https://twitter.com/Haepanda25/status/1060282666736439296
Fadhlur__;2018-11-08 04:24;0;0;"Teman itu adalah orang yang menyelamatkan dari neraka yang bernama kesepian (Uzumaki Naruto)";;;;"1060281857164509184";https://twitter.com/Fadhlur__/status/1060281857164509184
faridanrrn;2018-11-08 04:22;0;0;"Penyesalan pagipagi akibat terlalu indahnya tidurku sehingga sulit dibangunkan dan tugasku tergeletak kesepian";;;;"1060281476808200192";https://twitter.com/faridanrrn/status/1060281476808200192
Ktyptr;2018-11-08 04:18;0;0;"Tertawa dapat mengurangi rasa kesepian dan membuat seseorang berpikir positif terhadap diri sendiri.";;;;"1060280427825397760";https://twitter.com/Ktyptr/status/1060280427825397760
nwh_;2018-11-08 04:18;0;0;"Manusia tak kan pernah bisa menang dari rasa kesepian (Gaara)";;;;"1060280286276014080";https://twitter.com/nwh_/status/1060280286276014080
EmiAmaliyah;2018-11-08 04:15;0;0;"Manusia tak kan pernah bisa menang dari rasa kesepian. -Gaara";;;;"1060279686859710464";https://twitter.com/EmiAmaliyah/status/1060279686859710464
marzpeal;2018-11-08 04:13;0;0;"sahabatan itu perlu buat tempat curhat,seneng2 dan buat hidup lebih asyik, tanpa sahabat mungkin hidup kita kesepian # # mrzprlquotes";;;# #;"1060279154392748032";https://twitter.com/marzpeal/status/1060279154392748032
SaputraNurula;2018-11-08 04:13;0;0;"Nggak punya pacar, ngerasa kesepian? Buat gue malah lebih kesepian lagi kalo nggak punya temen.";;;;"1060279054387924993";https://twitter.com/SaputraNurula/status/1060279054387924993
jnnewrw;2018-11-08 04:05;0;1;"Wkwkwkwk bakal kesepian dong kita ga ada mainan yg diinjek2 lg di tl";;;;"1060277002467328000";https://twitter.com/jnnewrw/status/1060277002467328000
Jarr_;2018-11-08 03:59;0;0;"“Manusia tak kan pernah bisa menang dari rasa kesepian.” -Gaara (Naruto) # EvilBot";;;#;"1060275582875750400";https://twitter.com/Jarr_/status/1060275582875750400
jandaKesepian6;2018-11-08 03:56;0;0;"Kenapa sendiri aja";;;;"1060274770535567361";https://twitter.com/jandaKesepian6/status/1060274770535567361
odecelci;2018-11-08 03:42;0;0;"Aku kesepian, tapi banyak rasa yang aku rasakan dalam hari-hari yang aku pilih untuk sementara waktu ini.";;;;"1060271389695852544";https://twitter.com/odecelci/status/1060271389695852544
RPEWorld_;2018-11-08 03:40;3;0;"/tlw/ fambest mau ga? Kesepian gua - kth";;;;"1060270701653807104";https://twitter.com/RPEWorld_/status/1060270701653807104
eisiou;2018-11-08 03:25;0;0;"sering banget ga sih nyeritain ttg legenda rakyat atau makhluk halus lokal gitu? aku inget episode nyeritain anak yg selalu kesepian, karena gak punya teman jadinya dia main sama hantu anak2 gitu kan... main ayunan sambil ketawa tapi orang2 liatnya anak itu sendirian ._.";;;;"1060267074662985729";https://twitter.com/eisiou/status/1060267074662985729
nabila_fahh;2018-11-08 03:24;0;1;"Resah menghantui jiwa-jiwa kesepian..";;;;"1060266840188809217";https://twitter.com/nabila_fahh/status/1060266840188809217
info_plk;2018-11-08 03:22;0;0;"Dimanakah kebahagiaan yg dulu kau janjikan? nyatanya aku kesepian sekarang :'(";;;;"1060266339158257669";https://twitter.com/info_plk/status/1060266339158257669
JamuPintar;2018-11-08 03:12;0;0;""Ada orang yang lebih suka sendiri, tapi dia pasti takkan mampu bertahan dari kesepian." ~ Makarov";;;;"1060263862325338112";https://twitter.com/JamuPintar/status/1060263862325338112
TakayukiFuruici;2018-11-08 03:12;0;0;""Ada orang yang lebih suka sendiri, tapi dia pasti takan mampu bertahan dari kesepian." Makarov";;;;"1060263797342912513";https://twitter.com/TakayukiFuruici/status/1060263797342912513
aldina_putri;2018-11-08 03:11;0;0;"Baca quotes bijak, termotivasi, " kayanya gue harus kaya gini " , " bener juga ya " . Tar klo kesepian pasti tuh quotes ga guna lagi. Jamblang";;;;"1060263558951227392";https://twitter.com/aldina_putri/status/1060263558951227392
ampurba14;2018-11-08 03:11;0;0;"Jangan janji janji terus. Aku tak mau kau bohong. Temani honorer tuk sebentar saja. Agar mereka tak kesepian. Cuman nyanyi pak.";;;;"1060263558435364865";https://twitter.com/ampurba14/status/1060263558435364865
johyrun;2018-11-08 03:00;0;0;"Aku tau kamu hanya kesepian. Lalu mencariku untuk kenyamanan sementara. Setelah kamu merasa suasana hatimu baik kembali. Jiwamu ramai kembali. Kamu pasti akan pergi lagi. Mencari jalan lain. Dan aku tertinggal seperti sediakala";;;;"1060260829663129600";https://twitter.com/johyrun/status/1060260829663129600
Kisame_RPA;2018-11-08 02:59;0;0;""Manusia tak kan pernah bisa menang dari rasa kesepian" -Gaara";;;;"1060260360987373568";https://twitter.com/Kisame_RPA/status/1060260360987373568
Tamaa_01;2018-11-08 02:58;0;0;"Kesepian hati ini akan slalu menghampiri :(";;;;"1060260158578651136";https://twitter.com/Tamaa_01/status/1060260158578651136
johngusleo;2018-11-08 02:45;0;0;"anda yang kesepian gak punya cowo. Miris https://twitter.com/nounnaechy/status/1060246776299499520 …";;;;"1060256975777234944";https://twitter.com/johngusleo/status/1060256975777234944
johyrun;2018-11-08 02:45;0;0;"Ia tidak mencintaimu, ia hanya membutuhkanmu. Ia tidak mencintaimu, ia hanya nyaman dekat denganmu. Ia tidak mencintaimu, ia hanya senang dengan candamu. Ia tidak mencintaimu, ia hanya kesepian ketika sedang menunggu sesuatu. Ia tidak mencintaimu. Ia tidak.";;;;"1060256973680082944";https://twitter.com/johyrun/status/1060256973680082944
JamuPintar;2018-11-08 02:42;0;0;""Jika kalian semua kesepian, kamu akan belajar betapa hangatnya memiliki teman-teman." ~ Fairy Tail";;;;"1060256311688888320";https://twitter.com/JamuPintar/status/1060256311688888320
