username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
anisanrzzh;2018-11-08 06:37;0;0;"gue bukan sedang mengeluh dengan hidup gue, gue cuma lelah sama orang-orang yang bisanya nyela perjuangan orang lain walaupun dengan dalih bercanda. gue gak suka sama orang kayak gitu, coba bayangin kalo lo sendiri yang ada di posisi tsb. siapa yang mau semangatanya dipatahin?";;;;"1060315288674086913";https://twitter.com/anisanrzzh/status/1060315288674086913
HuseinEmmy;2018-11-08 06:03;0;0;"Cara tercepat untuk mengubah hidup amatlah sangat sederhana, di mulai dengan ketika yang lain menunda cobalah anda memulai, dan tetap lah berjalan ketika yang lain sudah mulai lelah melangkah";;;;"1060306701717401600";https://twitter.com/HuseinEmmy/status/1060306701717401600
eggsotrash;2018-11-08 06:02;0;0;"lelah hidup di keluarga yg toxic.";;;;"1060306606301208576";https://twitter.com/eggsotrash/status/1060306606301208576
putrarahardono;2018-11-08 00:01;0;0;"Cara tercepat untuk mengubah hidup amatlah sangat sederhana, di mulai dengan ketika yang lain menunda cobalah anda memulai, dan tetap lah berjalan ketika yang lain sudah mulai lelah melangkah";;;;"1060215591359762433";https://twitter.com/putrarahardono/status/1060215591359762433
sopbuntutkuah;2018-11-07 23:55;0;1;"KONE YAALLAH :((( berasa ngikutin kisah hidup orang dr pacaran sampe nikah... aq lagi bucin siren tides sama marvin gaye nya nih, menunggu update☻";;;;"1060214222297001985";https://twitter.com/sopbuntutkuah/status/1060214222297001985
Hanifals_;2018-11-07 23:52;0;2;"Hujan sedang turun, cukup deras. Namun mendamaikan yang sedang istirahat melepas lelah setelah menghadapi hidup yang keras.";;;;"1060213315970822145";https://twitter.com/Hanifals_/status/1060213315970822145
haruwumaki;2018-11-07 23:14;0;0;"Gambarnya ko gaada?";;;;"1060203805499772929";https://twitter.com/haruwumaki/status/1060203805499772929
muham103;2018-11-07 22:55;0;1;"Selalu ada pilihan dalam hidup. Terasa berat ? Padat ? Terlalu menekan ? Pilihan ada di tangan anda. Berjuang tanpa kenal lelah, atau sibuk merasa diri tidak mampu dan mengeluh.";;;;"1060199121187815424";https://twitter.com/muham103/status/1060199121187815424
wignyaaa;2018-11-07 22:36;1;0;"Wes ngerti lelah yo sek ngetweet. Kebiasaan sok tegar sih :)";;;;"1060194253119188993";https://twitter.com/wignyaaa/status/1060194253119188993
haruwumaki;2018-11-07 22:01;0;0;"Nder, pokoknya qm harus tanggungjawab!!!!! Gue jadi ikutan dengernya hei tayo";;;;"1060185365787504640";https://twitter.com/haruwumaki/status/1060185365787504640
