username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
faniwijayaa;2018-11-08 06:33;0;0;"Day 8 Brad Paisley - Whiskey Lullaby feat Allison Krauss "Life is short, but this time it was bigger" gak cuman tentang drugs dan alkohol. Ini mah mau mengakhiri hidup.";;;;"1060314441185558529";https://twitter.com/faniwijayaa/status/1060314441185558529
bosjorgas;2018-11-07 23:02;0;0;"rasa rasanya ingin mengakhiri hidup dari dunia palsu";;;;"1060200955155636224";https://twitter.com/bosjorgas/status/1060200955155636224
phoerange;2018-11-07 22:15;0;1;"Meskipun ada kalanya gw ingin berhenti hidup, ingin mengakhiri semua ini, ingin keretanya berhenti, tapi gw akan selalu bilang ke yang lain untuk tetap berjuang. Gw tetap ngirim peluk untuk mereka. I know, it's weird.";;;;"1060189052517793794";https://twitter.com/phoerange/status/1060189052517793794
Grreschinov;2018-11-07 19:33;0;0;"Setiap orang punya medan perangnya sendiri... - Ada orang yg kariernya mulus, tapi paha nya korengan... - Ada orang yg sakit-sakitan, tapi dia berusaha mengakhiri hidup nya... - Ada orang yg hatinya baik, tapi dia kecanduan janda... Kalau kamu?";;;;"1060148131457716229";https://twitter.com/Grreschinov/status/1060148131457716229
plastikijo;2018-11-07 16:19;0;0;"Nder, gw juga punya niat yang sama.. mengakhiri hidup sepertinya satu satunya jalan keluar yang adil Tapi setelah gw tau kalo kita mati sebelum waktu kita, yang ada tersiksa. Ya intinya, mati juga bukan akhir semuanya, mati cuma awal bagi kehidupan yang baru.";;;;"1060099473009823744";https://twitter.com/plastikijo/status/1060099473009823744
siswiHKS;2018-11-07 14:35;0;0;"Banyak yang mengakhiri hidup nabrakin ke kereta deket gedebage ya";;;;"1060073297948241920";https://twitter.com/siswiHKS/status/1060073297948241920
UrHanssi;2018-11-07 10:25;0;0;"Kirain pengen mengakhiri hidup unn:b";;;;"1060010268091006976";https://twitter.com/UrHanssi/status/1060010268091006976
bungakuhafiez;2018-11-07 08:36;0;0;"Perempuan, kalau awak gagal dlm bercinta jangan sesekali awak mengakhiri seluruh hidup awak...";;;;"1059982962589020161";https://twitter.com/bungakuhafiez/status/1059982962589020161
bequitez;2018-11-07 06:23;0;0;"Orang tua — selain alasan untuk tetap hidup mereka juga alasan untuk pengen mengakhiri hidup.";;;;"1059949407880253443";https://twitter.com/bequitez/status/1059949407880253443
sundaysunray;2018-11-07 01:02;0;0;"Capek itu pasti dan wajar, namanya juga menjalani hidup. Tapi jangan sampai berpikir ingin beristirahat selamanya dan mengakhiri hidup. Istirahat sejenak. Rehat dari responsibilities yang ada, jauhkan sosial media, treat yourself right. Baca buku baru, dengerin musik baru";;;;"1059868735815598080";https://twitter.com/sundaysunray/status/1059868735815598080
nunucintya;2018-11-06 22:40;0;0;"Dear you: Aku ingin bersamamu selamanya. Terus bersamamu. Dan terus kelak mengakhiri hidup dengan tetap menjadi kesayanganmu.";;;;"1059832999057928193";https://twitter.com/nunucintya/status/1059832999057928193
RikalaSemana;2018-11-06 21:36;0;0;"ㅤ ㅤㅤ"Ini hanya sebatas pertanyaan, tapi menurut Mas, memangnya salah ya mengakhiri hidup dengan tangan sendiri?" ㅤ";;;;"1059816746687889408";https://twitter.com/RikalaSemana/status/1059816746687889408
Salsaandinaaa;2018-11-06 20:59;0;0;"Rasa rasanya ingin mengakhiri hidup";;;;"1059807427686674432";https://twitter.com/Salsaandinaaa/status/1059807427686674432
