username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
putriputes;2018-11-08 06:52;0;0;"Uji sempet nanya, "Udah minggu. Masih galau?" "Dua minggu tanpa Jae. Dua minggu digangguin Brian. Dua minggu nggak semangat ngapa-ngapain. Dua minggu masih patah hati." https://twitter.com/mydayfess/status/1060314757033426944?s=19 …";;;;"1060319079460855809";https://twitter.com/putriputes/status/1060319079460855809
ayunionsss;2018-11-08 06:44;0;0;"Ngewots Emang Penuh Liku-Liku @ Eve_JKT48 Tetap Semangat Dan Jangan Menyerah,Ingat Dibelakangmu Masih Ada Yg Mendukumgmu,Jadi Jangan Patah Semangat Bocah Impian";;@;;"1060317031671586817";https://twitter.com/ayunionsss/status/1060317031671586817
HelenMo06822443;2018-11-08 06:32;0;0;"Semangatlah dalam hal yang bermanfaat untukmu, minta tolonglah kepada Allah dan jangan malas (patah semangat) (H.R Muslim No. 2664) Assalamu'alaikum warahmatullahi wabarrokatuh Semangaaat… https://www.instagram.com/p/Bp5cy-PF6Z_/?utm_source=ig_twitter_share&igshid=mqil1k7ervqq …";;;;"1060314183290548224";https://twitter.com/HelenMo06822443/status/1060314183290548224
AmandaSulistyor;2018-11-08 04:40;0;0;"“aku tidak patah semangat, aku hanya mencari orang yang ada dipikiranku, dan kau yang muncul dipikranku” – City Hunter";;;;"1060285951711178753";https://twitter.com/AmandaSulistyor/status/1060285951711178753
speremen;2018-11-08 03:32;0;0;"- malam ini aku patah semangat lagi, aku kecewa dan aku sedih";;;;"1060268732709289984";https://twitter.com/speremen/status/1060268732709289984
nur_andreas24;2018-11-08 03:27;0;1;"Semangat @ Eve_JKT48, Mungkin ini cobaan dari tuhan untuk kamu yang ingin menggapai mimpi mu, Aku yakin kamu bisa ngelewati ini... Jangan patah semangat ya badgirl Keep strong badgirl";;@;;"1060267572149383168";https://twitter.com/nur_andreas24/status/1060267572149383168
NiSondak;2018-11-08 03:14;0;0;"Ngomongin tentang cinta.., patah hati boleh.., patah semangat yg ga boleh..! ;)";;;;"1060264124683145216";https://twitter.com/NiSondak/status/1060264124683145216
voumes;2018-11-08 01:58;0;0;"- malam ini aku patah semangat lagi, aku kecewa dan aku sedih";;;;"1060245093519712256";https://twitter.com/voumes/status/1060245093519712256
xmellalisa_;2018-11-08 01:51;0;0;"- malam ini aku patah semangat lagi, aku kecewa dan aku sedih";;;;"1060243307513683968";https://twitter.com/xmellalisa_/status/1060243307513683968
byjeunha;2018-11-08 01:48;0;0;"- malam ini aku patah semangat lagi, aku kecewa dan aku sedih";;;;"1060242570389975041";https://twitter.com/byjeunha/status/1060242570389975041
curhatanRPgw;2018-11-08 01:40;115;29;"- malam ini aku patah semangat lagi, aku kecewa dan aku sedih";;;;"1060240506720989184";https://twitter.com/curhatanRPgw/status/1060240506720989184
WALKERFAMS;2018-11-08 01:16;0;0;"jangan sedih yaaa! kamu bisa ikut open baby lain waktu atau ikut open saudara wlkr! jangan patah semangat ♡";;;;"1060234458337435648";https://twitter.com/WALKERFAMS/status/1060234458337435648
WALKERFAMS;2018-11-08 01:09;6;0;"tapi bener2 diliat dari letak seriusnya makannya bisa sampai sepagi ini ngelahirin kalian . untuk yang kecewa kalian bisa ikut open baby lain waktu ya jangan patah semangat atau kalian bisa ikut open saudara wlkr nanti . lov youuu ♡ pic.twitter.com/kqgKTkcG9n";;;;"1060232817525719040";https://twitter.com/WALKERFAMS/status/1060232817525719040
vhieanhey;2018-11-08 00:51;0;0;"Satu satunya orang yang berhasil mengubah pandanganku akan hidupku sendiri adalah dia. Aku berdamai dengan masa laluku, kebodohanku, kekuranganku pun karna dia. Dia membangkitkan kembali semangat hidupku yang uda sempat patah karna pisah sama mantanku. Aku berdiri lebih kuat.";;;;"1060228263715295233";https://twitter.com/vhieanhey/status/1060228263715295233
aryfae;2018-11-08 00:25;1;0;"No. 2 tu punca aku nak sambung degree & punca juga aku patah semangat nak study skg ni. https://twitter.com/azhanzhan/status/1059498833984376832 …";;;;"1060221685524131840";https://twitter.com/aryfae/status/1060221685524131840
Nv12343;2018-11-08 00:17;0;0;"Good night eve selamat tidur dan semangat terus,jangan pernah patah semangat percayakan semua kepada tuhan yesus pasti selalu ada jalan keluarnya";;;;"1060219750247161857";https://twitter.com/Nv12343/status/1060219750247161857
