username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
lovelymminmin;08/11/2018 06:58;1;0;Hahahahahahhahahahahahha bagus ashie jgn putus asa ashie! Go go go # jungkookpleasedropyourselca;;;#;1,06032E+18;https://twitter.com/lovelymminmin/status/1060320721417703424;
aditfk_;08/11/2018 06:58;0;0;@Regran_ed from @ dewaekaprayoga - Harus yakin seyakin-yakinnya ya kawan, gak boleh nyerah dan putus asa. . . # melawankemustahilan # preorder # bukudewa # dewaselling # bukudewaselling… https://www.instagram.com/p/Bp5f5EDBuTT/?utm_source=ig_twitter_share&igshid=zry8mejhp6d4 …;;@Regran_ed @;# # # # #;1,06032E+18;https://twitter.com/aditfk_/status/1060320717407870976;
Leeda961024;08/11/2018 06:57;0;0;Seberat apapun masalahmu, lebih baik terus berusaha daripada hanya bicara, lebih baik terus berharap daripada putus asa.lagi gk online ya :D;;;;1,06032E+18;https://twitter.com/Leeda961024/status/1060320487924854785;
alarmiclock;08/11/2018 06:57;0;0;Tuhan tidakkan berikan cobaan melebihi kemampuanmu. Ketika putus asa, ingatlah, jk Tuhan memberinya padamu, Dia akan membantumu melewatinya.Alarm Motor 7FC70DAF;;;;1,06032E+18;https://twitter.com/alarmiclock/status/1060320443758895105;
aisyahJSD;08/11/2018 06:40;0;2;Terbanglah setinggi yang termampu, kibarkan sayap gembira... Hidup jangan ada putus asa...! Assalamualaikum awak;;;;1,06032E+18;https://twitter.com/aisyahJSD/status/1060316171357044736;
sugarncigarette;08/11/2018 06:36;0;0;jangan putus asa dita you can do it;;;;1,06032E+18;https://twitter.com/sugarncigarette/status/1060315173091561472;
Hubbaka46;08/11/2018 06:31;0;0;ketika raga dilanda duka, hari-hari terasa gelap gulita. kembalikanlah segalanya kepada sang pencipta. kamu tidak sendirian hidup di dunia. percayakan bahwa Dia selalu ada, untuk hamba. Nya, hamba yang selalu berdo'a dn meminta..jangan putus asa. bangkt skrng at terpuruk slamanya;;;;1,06031E+18;https://twitter.com/Hubbaka46/status/1060313782956654592;
KumpulanK;08/11/2018 06:16;0;0;“Ada Orang Yang Jauh Lebih kuat yang pernah mengalahkanku! dia orang yang tak pernah putus asa!” – (Neiji);;;;1,06031E+18;https://twitter.com/KumpulanK/status/1060309986520125440;
IDmulinsky;08/11/2018 06:14;0;1;Walaupun pernah sampai putus asa akan hidup ini, tp Alhamdulillah masih diberi kekuatan hingga sekarang @Regran_ed from beraniberhijrah - Terimakasih ya Allah atas kekuatan yang… https://www.instagram.com/p/Bp5axwJnUt5/?utm_source=ig_twitter_share&igshid=1pdggl5k8wj48 …;;@Regran_ed;;1,06031E+18;https://twitter.com/IDmulinsky/status/1060309470050480128;
dwiputrosam35;08/11/2018 05:50;0;0;Mereka yang bermimpi hancur karena harapan mereka tak sesuai dengan rencana. Putus asa menjadi kenyataan. Dan ikhlas tak mau lagi di hiraukan. Apa yang terjadi selanjutnya? — Kembali berserah diri kepada Allah SWT https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM3OPDJHIPS3QOXO77D7SLNZN62UYY2Z2KFVF4WRZUL2276EIFJQUH4DB7YEV7M2VONS5LPBQLUIORJE2YHVWSCKGPBOHXYPXKSC27R6LPZSGJWGRGZTGWBG5WBOBB6QK46PGHLYM4ZDPVJMTRQSO2OPPSIUYFB5HK5NNIJ4H3TI43KFDU4EKQ==== …;;;;1,0603E+18;https://twitter.com/dwiputrosam35/status/1060303595160133634;
rinnyekavianti;08/11/2018 05:50;0;0;Simak motivasi dari incess ini shaayy... . Sukses itu harus KERJA KERAS. . Putus asa... Capek... Hem pas khaan...!! *kibasjilbab https://www.facebook.com/rinnyekavianti1/videos/2182216275144229/ …;;;;1,0603E+18;https://twitter.com/rinnyekavianti/status/1060303579175677952;
munirahmusa3006;08/11/2018 05:49;0;0;Saya nk bgtahu awak satu benda :) Me: Apa dia? I: Sabarlah Me: Cakaplah I: Jangan putus asa nak hafal Quran;;;;1,0603E+18;https://twitter.com/munirahmusa3006/status/1060303278397784064;
reguswel;08/11/2018 05:45;0;0;Berharap itu lebih baik daripada putus asa;;;;1,0603E+18;https://twitter.com/reguswel/status/1060302259660017664;
fanitariana;08/11/2018 05:32;0;0;Jangan putus asa timnas indonesia # KobarkanSemangatGaruda # KemenanganItuDekat;;;# #;1,0603E+18;https://twitter.com/fanitariana/status/1060298860310888449;
CallMeEstupido;08/11/2018 05:30;0;0;Daun yang jatuh tak pernah menyalahkan angin. Kenapa manusia yg putus asa selalu menyalahkan takdir?;;;;1,0603E+18;https://twitter.com/CallMeEstupido/status/1060298406030008320;
Smknusda_;08/11/2018 05:23;0;0;Kelembutan dan kebaikan bukanlah tanda-tanda kelemahan dan putus asa, tetapi adalah penjelmaan sebuah kekuatan.;;;;1,0603E+18;https://twitter.com/Smknusda_/status/1060296771044175872;
TweetMerapux;08/11/2018 05:22;0;0;Gagal adalah masalah kecil namun putus asa adalah masalah yang besar;;;;1,0603E+18;https://twitter.com/TweetMerapux/status/1060296574494892032;
pakarnasihat;08/11/2018 05:12;1;2;Jangan putus asa ketika masalah tak juga reda. Segala sesuatu pasti ada akhirnya. Terus berusaha dan semua akan indah pada waktunya.;;;;1,06029E+18;https://twitter.com/pakarnasihat/status/1060293878757056512;
symmirilhm;08/11/2018 05:06;0;0;Manchester United sengaja score last minute sbb diorg nak fans diorg tgk smpai habis game!! Ia menunjukkan selagi game belum habis, jangan putus asa!! HIDUP POKOK!!;;;;1,06029E+18;https://twitter.com/symmirilhm/status/1060292516111572992;
paandin10;08/11/2018 04:53;0;0;Jangan putus asa. Walaupun ketinggalan kejar balik dapatkan kejayaan. Itulah Manchester United. Jadi jangan putus asa.;;;;1,06029E+18;https://twitter.com/paandin10/status/1060289087590944769;
SephiaLovers;08/11/2018 04:45;0;0;Tuhan selalu mendengar do'a kita jangan pernah putus asa untuk berusaha;;;;1,06029E+18;https://twitter.com/SephiaLovers/status/1060287209108992000;
MohdHabibiMadi;08/11/2018 04:43;0;0;Salam Subuh Harapan itu akan selalu ada bagi mereka yang sentiasa berdoa & selalu ada jalan bagi mereka yang tidak kenal erti putus asa. Terima kasih kepada yang tidak putus asa ke atas kita, jangan lupa untuk... https://www.facebook.com/1065102647/posts/10214633103875681/ …;;;;1,06029E+18;https://twitter.com/MohdHabibiMadi/status/1060286532236558337;
