username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dibidibishinee;24/11/2018 06:35;0;0;Terima kasih utk twit ini, saya yang sedang berjuang lepas dari depresi. Sungguh tulisan ini menguatkan saya.;;;;1,07E+18;https://twitter.com/dibidibishinee/status/1066113038988656640
Andi23_18;24/11/2018 06:21;0;0;Ternyata saya depresi karna no8 https://twitter.com/efenerr/status/1065789580031324160 ;;;;1,07E+18;https://twitter.com/Andi23_18/status/1066109506847891456
_fireshare;24/11/2018 00:30;0;0;Itulah kenapa saya salut & respek sama temen yang masih istiqomah ambil kerjaan rawan depresi ini. Saya sampai saat ini nggak mau disebut programmer, karena fokus ke ansys & data-math-DSS modeling.. meski belakangan ya perlu balik hands-on lagi..;;;;1,07E+18;https://twitter.com/_fireshare/status/1066021284843147264
msalhaq;23/11/2018 23:55;0;1;Kalo saya gini, umur 25 sudah sukes ngalahin jack ma, umur 26 mati gegara maag akut, gagal ginjal, depresi, HIV dan sebagainya pic.twitter.com/uV6eWD5wGd;;;;1,07E+18;https://twitter.com/msalhaq/status/1066012444366012417
mijaazahari;23/11/2018 21:22;0;0;saya rasa saya mengalami depresi;;;;1,07E+18;https://twitter.com/mijaazahari/status/1065973978731241472
hanyok_;23/11/2018 20:33;0;0;Ngga inget mba, bentar saya buka buku diary depresi milik intan dulu;;;;1,07E+18;https://twitter.com/hanyok_/status/1065961635494252549
SriRestuti;23/11/2018 20:11;0;0;"Sekarang dalam tahap ini. Deact akun IG dan sudah berjalan beberapa minggu. Bukan karena iri atau bahkan sampai depresi. Hanya berpikir, berjam2 dalam sehari hanya untuk melihat postingan2 di IG yg kadang ""kurang bermanfaat"", apa yg saya dapat? Benar, rasa minder.";;;;1,07E+18;https://twitter.com/SriRestuti/status/1065955979425013760
Reyhan_Firdaus;23/11/2018 19:33;0;0;saya parti nya sama laporan, quiz, dan depresi;;;;1,07E+18;https://twitter.com/Reyhan_Firdaus/status/1065946421449248768
junecantarella;23/11/2018 18:05;0;0;Sampai skrg saya masi depresi :);;;;1,07E+18;https://twitter.com/junecantarella/status/1065924229214855168
rogogeni66;23/11/2018 16:21;0;0;Koksamaan, sampe depresi saya kyluv :( https://twitter.com/Kyla_JKT48/status/1065850580080316416 ;;;;1,07E+18;https://twitter.com/rogogeni66/status/1065898162689196033
frauyuni;23/11/2018 16:11;0;0;Saya sempat mengalmi gejala depresi yang cukup membuat orang terdekat khawatir, mengkonsumsi penenang.;;;;1,07E+18;https://twitter.com/frauyuni/status/1065895642596163585
drelsaoktavia;23/11/2018 14:37;0;0;Ini udah terlatih sih sejak koas. Sewaktu ayah meninggal saya diberi wkt 2 hari libur. Esoknya saya tetep follow up pasien, senyum, memeriksa pasien. Meskipun msh dlm keadaan depresi/ sedih. Seseorang yg bekerja berkaitan dgn jasa harus tetep professional.;;;;1,07E+18;https://twitter.com/drelsaoktavia/status/1065871987736604672
MadutvT;23/11/2018 14:01;0;0;Saya suka video @ YouTube http://youtu.be/IAg_ipJBbiM?a DI DUGA ALAMI DEPRESI SEORANG WARGA NEKAT PANJAT POHON JATI SETINGGI 15 METER;;@;;1,07E+18;https://twitter.com/MadutvT/status/1065862776654942208
efenerr;23/11/2018 13:35;4;3;iya kak makanya saya tulis disclaimernya. istri saya depresi juga gejalanya ga 1-8 kok. silakan kalau mau baca2 kisahnya. https://www.efenerr.com/2017/10/10/melawan-depresi/ ;;;;1,07E+18;https://twitter.com/efenerr/status/1065856387274629120
